Price,Close,High,Low,Open,Volume
Ticker,SABTNL.NS,SABTNL.NS,SABTNL.NS,SABTNL.NS,SABTNL.NS
Date,,,,,
2002-07-01,72674.9453125,74673.50630859374,71062.4699633789,74491.8189453125,895
2002-07-02,69268.3125,74491.82459016393,68655.11760245901,71766.51393442623,925
2002-07-03,74219.2890625,75150.43681389611,69268.30833556456,69904.21411700582,1128
2002-07-04,80010.5859375,83984.99767155123,73106.46498234813,75218.58093244393,6771
2002-07-05,81123.4140625,83326.37351492512,78216.41602218646,79488.22766482363,5180
2002-07-08,80351.2421875,84030.41155843697,79715.33637030101,81759.31935415488,1489
2002-07-09,80737.328125,83076.5531030239,79715.33662974683,80805.46089135022,1839
2002-07-10,79760.7578125,82645.04489740533,79261.11753007545,80850.88206506264,1080
2002-07-11,75559.2421875,80396.66887398557,75014.18002564248,80396.66887398557,549
2002-07-12,72425.1328125,78511.66012317734,70403.86068320791,76308.70061147696,879
2002-07-15,69018.4921875,73447.12199222606,66883.66551240129,73447.12199222606,475
2002-07-16,72515.96875,75150.43551323208,65929.80184191982,69041.1979329784,1941
2002-07-17,74832.4921875,76081.5929675645,70653.68230510243,71857.36123861912,2216
2002-07-18,75945.328125,76990.0306051884,74946.04749177632,75809.06258410586,901
2002-07-19,72743.0859375,75400.26391273807,72266.15655732907,75354.8420670075,626
2002-07-22,69041.203125,71721.09193050987,67905.6570209704,71516.69363178454,358
2002-07-23,68450.71875,70721.8109447578,65861.67364797612,65861.67364797612,483
2002-07-24,65543.71875,68132.76377338877,64748.83650597713,67224.32692307692,283
2002-07-25,65293.91015625,70358.44649184782,62455.04449728261,67769.40101086957,438
2002-07-26,66111.4921875,68359.87340583133,62250.63554996136,63136.36148445552,1250
2002-07-29,64090.21875,68087.34082654146,62000.81402817151,67088.0603074061,595
2002-07-30,58026.40234375,67337.87982356898,55187.53725843933,65634.56077238258,512
2002-07-31,61228.64453125,62909.25272684069,52462.228808303975,56641.03837571866,1340
2002-08-01,60683.5859375,64726.130210282565,57231.525659618266,61342.20270104323,923
2002-08-02,61296.78125,62227.929094108935,58185.38479529456,58707.73602491664,659
2002-08-05,65611.8515625,66497.57749221184,60956.112701194186,62500.45534787123,966
2002-08-06,68110.0625,69041.21040346782,63885.83054768256,65407.46248749583,752
2002-08-07,68246.3203125,71584.82583194676,67496.85988976705,70812.65448731282,860
2002-08-08,64885.08984375,70244.86625366425,63817.67674516539,69041.18765313266,579
2002-08-09,67655.8359375,69949.63903575025,65362.03283924975,66520.2898492573,2001
2002-08-12,66611.1328125,69904.21643262017,66043.35977454824,67224.3276934879,685
2002-08-13,66134.1953125,68087.33432241586,65634.55510066106,67224.31941105769,316
2002-08-14,65384.73046875,68814.07895808006,64771.53570575721,66043.34706603856,1293
2002-08-15,65384.73046875,65384.73046875,65384.73046875,65384.73046875,0
2002-08-16,64998.66015625,67224.33055992312,64340.04340414264,67088.06502500437,484
2002-08-19,65838.9609375,67224.32713866851,65203.05514024233,65861.67185883064,574
2002-08-20,68973.078125,69495.42939166942,64499.02597135331,66815.54028440895,1291
2002-08-21,70449.2734375,73515.24761998307,69313.72744398775,69722.52400165216,2348
2002-08-22,66701.984375,72674.95743956418,65452.88354400749,71312.30198757235,2220
2002-08-23,66293.1796875,67837.52234551644,64998.65716533916,67564.99128821942,1171
2002-08-26,66315.890625,68586.98276969178,65975.22680329623,67678.54591181508,786
2002-08-27,64839.68359375,67178.90860606392,64226.48868760945,66974.51030401708,571
2002-08-28,65112.22265625,65725.41763766568,63658.723441042464,64907.82432911144,592
2002-08-29,64022.08984375,65611.85440177146,63590.58232085846,65611.85440177146,405
2002-08-30,68041.921875,68927.64782731142,64067.5105505257,64726.127284295726,1220
2002-09-02,68155.484375,70290.31127644952,67406.02386704432,69268.31967469177,1286
2002-09-03,67360.6015625,68859.52256827377,66656.56290827293,68132.77298971679,797
2002-09-04,67360.6015625,67701.26542744858,64953.243583530006,66543.0082866234,435
2002-09-05,66293.1796875,68405.2953815519,65861.67218011305,67678.54589542652,500
