Price,Close,High,Low,Open,Volume
Ticker,ALICON.NS,ALICON.NS,ALICON.NS,ALICON.NS,ALICON.NS
Date,,,,,
2006-10-03,63.74625015258789,63.74625015258789,62.72139082537586,62.72139082537586,168
2006-10-04,63.59457778930664,65.59100190820924,63.59457778930664,65.59100190820924,70
2006-10-05,63.59457778930664,63.59457778930664,63.59457778930664,63.59457778930664,0
2006-10-06,63.59457778930664,63.59457778930664,63.59457778930664,63.59457778930664,0
2006-10-09,63.59457778930664,63.59457778930664,63.59457778930664,63.59457778930664,0
2006-10-10,68.66556549072266,68.66556549072266,67.33324854836536,67.33324854836536,62
2006-10-11,71.74014282226562,71.74014282226562,71.74014282226562,71.74014282226562,100
2006-10-12,72.15009307861328,72.15009307861328,72.15009307861328,72.15009307861328,200
2006-10-13,72.72400665283203,73.78986272766261,70.51031327309983,72.9699753640219,552
2006-10-16,76.86444854736328,76.86444854736328,74.81472991943359,75.83958923339844,400
2006-10-17,75.55261993408203,76.86443843227742,72.16238401816072,72.16238401816072,240
2006-10-18,73.37992095947266,75.5444231555113,73.37992095947266,75.5444231555113,42
2006-10-19,73.78985595703125,73.78985595703125,70.71527862548828,70.71527862548828,22
2006-10-20,73.78985595703125,73.78985595703125,73.78985595703125,73.78985595703125,20
2006-10-23,75.8395767211914,75.8395767211914,75.8395767211914,75.8395767211914,6
2006-10-26,75.1016845703125,76.04455633112738,73.17495043183956,73.17495043183956,2638
2006-10-27,76.86444854736328,76.86444854736328,75.83958923339844,75.83958923339844,260
2006-10-30,77.88928985595703,82.1936979795757,77.88928985595703,79.32409256382992,600
2006-10-31,77.2743911743164,81.98874395152934,77.2743911743164,79.73405349286229,132
2006-11-01,77.2743911743164,77.2743911743164,77.2743911743164,77.2743911743164,0
2006-11-02,78.9346694946289,80.9638897850274,73.1749586158349,73.37993048870838,908
2006-11-03,78.05328369140625,81.78377413657611,76.76196344397933,81.78377413657611,1424
2006-11-06,76.04456329345703,93.66394337677431,76.04456329345703,93.66394337677431,4
2006-11-07,78.6067123413086,78.6067123413086,78.6067123413086,78.6067123413086,100
2006-11-08,80.34076690673828,94.14357093578963,75.83958670154227,94.14357093578963,44
2006-11-09,75.01969909667969,75.01969909667969,75.01969909667969,75.01969909667969,2
2006-11-10,78.4345474243164,89.93347218028859,69.89541738286529,89.93347218028859,702
2006-11-13,74.04813385009766,91.62241858009044,73.05196738864736,90.06463124132634,6686
2006-11-14,76.8234634399414,88.01493011371034,75.8396008499325,88.01493011371034,2810
2006-11-15,73.933349609375,79.32410682150339,71.74014828818136,79.32410682150339,1332
2006-11-16,69.86669921875,72.0476026250526,69.10830715479072,72.0476026250526,4740
2006-11-17,66.15673065185547,68.66558463814981,64.36117485486281,68.66558463814981,17568
2006-11-20,64.5661392211914,66.49287355325096,57.62989187262996,66.49287355325096,4524
2006-11-21,67.12828063964844,69.28048505710281,66.61585101644502,67.23076656428913,1230
2006-11-22,64.83259582519531,65.80826386556446,64.566134913365,65.80826386556446,1240
2006-11-23,63.807735443115234,64.56613380257666,63.13133082918606,63.13133082918606,272
2006-11-24,62.73368835449219,65.36552634429627,61.49155935592215,61.49155935592215,3910
2006-11-27,64.97607421875,65.13185482107878,62.92635578913643,62.92635578913643,166
2006-11-28,66.60765075683594,66.61585138232067,62.10647067336358,62.10647067336358,928
2006-11-29,68.59588623046875,68.862347157295,66.820829099467,67.04629940575961,502
2006-11-30,66.8208236694336,68.66557033515416,66.8208236694336,68.46059848340742,630
2006-12-01,67.53823852539062,69.28049961026413,66.20592122519324,66.20592122519324,386
2006-12-04,130.444091796875,138.5609721430724,124.74586429502607,126.2626610061133,7716
2006-12-05,132.61680603027344,134.46155294568683,127.20554340753124,127.20554340753124,4903
2006-12-06,133.68264770507812,135.28142568838848,131.18198854631612,131.26398229335328,3338
2006-12-07,135.32241821289062,135.691365041722,133.7236402809621,133.7236402809621,1307
2006-12-08,146.47288513183594,155.77861251523103,135.2814266579638,135.2814266579638,7682
2006-12-11,143.60328674316406,150.85929592643024,135.8553525794753,146.75985853712507,3452
2006-12-12,131.14100646972656,146.6778724891419,129.54222830602254,136.2243065973584,309
2006-12-13,131.6739044189453,137.61808730037083,122.98309409845928,122.98309409845928,348
2006-12-14,137.7410888671875,139.21688875000524,135.28142656598772,135.28142656598772,188
2006-12-15,136.10133361816406,136.10133361816406,133.6416709624141,135.69138984220572,1322
2006-12-18,130.3621063232422,131.10000003408348,127.1645502289435,127.90244393978479,120
2006-12-19,131.18197631835938,131.18197631835938,127.08253955841064,130.3620889663696,1030
2006-12-20,127.08257293701172,128.72234807168283,127.08257293701172,128.72234807168283,137
2006-12-21,127.08257293701172,132.00189834102508,116.6700033339484,122.98313510033393,413
2006-12-22,131.18197631835938,131.9198699309549,120.52344074249267,130.3620889663696,450
2006-12-26,124.5408706665039,134.29753663547748,124.37689571544698,134.29753663547748,234
2006-12-27,127.49250030517578,127.90244403606059,124.6228941889821,126.26266911252135,405
2006-12-28,123.80298614501953,124.62287347048323,118.55571226624691,121.75326783136026,853
2006-12-29,123.84395599365234,123.84395599365234,123.39301556093399,123.39301556093399,40
2007-01-02,123.31108093261719,123.8030184604977,117.36689627143436,117.36689627143436,1220
2007-01-03,125.44277954101562,125.44277954101562,123.88499839404854,123.88499839404854,40
2007-01-04,125.03282928466797,125.03282928466797,125.03282928466797,125.03282928466797,16
2007-01-05,127.57447814941406,134.46152696539767,119.78554823373555,119.78554823373555,176
2007-01-08,129.9521484375,129.9521484375,123.39304946273658,123.39304946273658,52
2007-01-09,125.81171417236328,126.3446484680887,124.62287999034257,126.3446484680887,152
2007-01-10,127.82042694091797,127.90242067631576,119.90851938404602,124.62287142820509,189
2007-01-11,127.08257293701172,131.1820107736895,127.08257293701172,131.1820107736895,445
2007-01-12,131.7149200439453,136.92121060093132,130.44410444496359,131.181998180533,1083
2007-01-15,144.8330841064453,144.8330841064453,132.32980299160093,135.2814022261853,1816
2007-01-16,140.40573120117188,148.39963414547216,139.38087184933852,144.30019673813868,767
2007-01-17,135.60940551757812,141.84055634986134,135.28145547819148,141.84055634986134,764
2007-01-18,136.10133361816406,142.66043403349727,136.10133361816406,142.66043403349727,140
2007-01-19,128.68130493164062,135.28139997812534,127.08252725217835,135.28139997812534,1698
2007-01-22,132.41177368164062,135.28137868402914,127.08250724863342,135.28137868402914,725
2007-01-23,132.73976135253906,135.28141722582575,131.34595531352218,135.28141722582575,515
2007-01-24,131.18197631835938,134.50252259601547,131.18197631835938,134.50252259601547,2675
2007-01-25,129.1322784423828,135.15845644055673,125.03284103151351,125.03284103151351,2025
2007-01-29,127.08257293701172,131.1820107736895,127.08257293701172,129.13229185535062,3405
2007-01-31,127.41049194335938,129.54220410369143,122.98310516173237,126.2626546327119,673
2007-02-01,125.85272216796875,128.39437823874894,122.98311612505088,126.26266588838558,4729
2007-02-02,122.98311614990234,123.88499733919744,122.57317242940267,122.98311614990234,565
2007-02-05,126.09867095947266,128.72230785310725,121.3843189202665,121.3843189202665,435
2007-02-06,122.2862319946289,122.98314146713953,122.1632538573586,122.36822575980383,1510
2007-02-07,122.08123779296875,122.40920028327113,120.72842848812961,122.40920028327113,204
2007-02-08,121.01541137695312,129.54223717408894,119.78558001137634,129.54223717408894,850
2007-02-09,120.48245239257812,129.54221077481319,116.58798719523405,129.54221077481319,1720
2007-02-12,113.2264633178711,119.70356925269063,112.32458210697682,119.70356925269063,1438
2007-02-13,112.52952575683594,118.88365198354252,112.52952575683594,118.88365198354252,909
2007-02-14,113.9643325805664,114.37427622294256,113.14444529581414,113.14444529581414,350
2007-02-15,113.14446258544922,122.16322409588358,113.14446258544922,118.88367445572563,410
2007-02-19,118.06378936767578,119.70356422000461,113.14446481068929,113.14446481068929,269
2007-02-20,114.74324035644531,114.78423722898204,112.36557187518343,112.36557187518343,345
2007-02-21,112.7345199584961,118.88367559259588,109.86491399591618,118.88367559259588,825
2007-02-22,118.06378936767578,118.8836767938402,111.50468995836046,117.24390194151137,6681
2007-02-23,113.84136962890625,118.88367209638498,110.68479815870326,118.88367209638498,463
2007-02-26,112.32457733154297,117.77682370876887,104.9455904995438,114.78423960887604,600
2007-02-27,114.82523345947266,115.19418028926218,112.32457437458305,112.32457437458305,151
2007-02-28,107.77418518066406,107.77418518066406,107.73318831276862,107.77418518066406,150
2007-03-01,107.4052734375,110.68482377146947,107.4052734375,110.68482377146947,75
2007-03-02,106.54437255859375,108.22514434791309,105.84747572628363,108.22514434791309,114
2007-03-05,95.88583374023438,104.12570502587602,95.88583374023438,104.12570502587602,2020
2007-03-06,90.22862243652344,94.24606620723577,87.80995054338034,90.18762555917117,1914
2007-03-07,89.24474334716797,94.65599900331458,88.5478402995629,94.65599900331458,3010
2007-03-08,86.17015838623047,87.72794558695416,85.2682835611517,87.72794558695416,2689
2007-03-09,90.392578125,90.392578125,83.62850765306122,83.62850765306122,400
2007-03-12,94.6969985961914,94.6969985961914,87.23602420026769,89.36773027692522,4664
2007-03-13,97.27964782714844,99.4523508348486,93.18021055044808,98.38649464080856,3233
2007-03-14,94.28705596923828,97.56660574208135,94.28705596923828,97.56660574208135,750
2007-03-15,94.57401275634766,96.74671567293278,94.3280502832073,94.3280502832073,220
2007-03-16,97.56659698486328,97.56659698486328,97.56659698486328,97.56659698486328,700
2007-03-19,92.72925567626953,94.69698651728794,92.72925567626953,94.28704285271093,110
2007-03-20,88.30186462402344,93.46715740369359,88.30186462402344,93.46715740369359,80
2007-03-21,88.30186462402344,88.30186462402344,88.30186462402344,88.30186462402344,0
2007-03-22,91.00749969482422,91.00749969482422,91.00749969482422,91.00749969482422,2000
2007-03-23,95.10694122314453,95.10694122314453,95.10694122314453,95.10694122314453,10
2007-03-26,91.41744995117188,95.10694344695908,91.41744995117188,95.10694344695908,9968
2007-03-28,92.64730072021484,92.64730072021484,92.64730072021484,92.64730072021484,770
2007-03-29,88.13789367675781,88.54783736827761,88.13789367675781,88.54783736827761,2225
2007-03-30,86.08818054199219,86.25215552664095,85.76022431744994,86.25215552664095,80
2007-04-02,89.36772155761719,89.36772155761719,85.76021595011409,86.08817214265875,440
2007-04-03,84.89932250976562,84.89932250976562,84.89932250976562,84.89932250976562,100
2007-04-04,81.98873901367188,81.98873901367188,81.98873901367188,81.98873901367188,10
2007-04-05,84.03846740722656,84.03846740722656,81.20985807952039,84.03846740722656,60
2007-04-09,88.13789367675781,88.13789367675781,86.8670657309487,86.8670657309487,1100
2007-04-10,94.9429702758789,94.9429702758789,85.26829575538186,85.30929263043913,62
2007-04-11,91.827392578125,99.61632319859096,91.827392578125,91.827392578125,170
2007-04-12,91.827392578125,95.92682974679128,90.18761771065847,90.18761771065847,10
2007-04-13,92.27833557128906,94.28705733413575,90.18762005873855,90.18762005873855,32
2007-04-16,99.78028869628906,99.98526053523398,94.28704591466287,94.28704591466287,120
2007-04-17,100.02627563476562,109.04503819199859,100.02627563476562,109.04503819199859,470
2007-04-18,96.00881958007812,96.00881958007812,96.00881958007812,96.00881958007812,25
2007-04-19,103.30582427978516,103.30582427978516,97.56661181979709,97.56661181979709,45
2007-04-20,103.30582427978516,103.34682115659743,102.48593678550115,102.48593678550115,242
2007-04-23,103.30582427978516,103.30582427978516,103.30582427978516,103.30582427978516,0
2007-04-24,108.22515869140625,112.32459652062617,104.9456084280303,110.6848213889382,192
2007-04-25,107.65119934082031,107.65119934082031,107.65119934082031,107.65119934082031,15
2007-04-26,108.22515869140625,108.22515869140625,97.56662033543442,108.22515869140625,407
2007-04-27,105.76547241210938,105.80646928335908,105.76547241210938,105.80646928335908,83
2007-04-30,104.94559478759766,107.40525716543198,97.64859514897353,100.02627003192902,121
2007-05-03,108.22515869140625,110.6848213889382,99.61633925004439,106.58538355971827,4696
2007-05-04,116.42401123046875,116.42401123046875,108.22513720015405,108.22513720015405,1182
2007-05-07,127.9024658203125,128.06644083849656,120.11353360689603,127.08257821890024,5814
2007-05-08,123.10606384277344,127.8204154636197,121.75325490359474,127.00052822521165,5802
2007-05-09,122.98311614990234,122.98311614990234,118.92467581905348,122.98311614990234,2347
2007-05-10,122.57318115234375,122.98312490201714,121.50732490109486,122.98312490201714,2620
2007-05-11,125.31978607177734,125.44276416970928,122.90110838821927,122.98310212716595,1519
2007-05-14,124.5408706665039,124.54087066650392,120.07248757014632,123.39303349861848,1152
2007-05-15,132.82177734375,133.64166485821758,119.74457399009002,119.74457399009002,980
2007-05-16,124.33589172363281,131.18195500463148,122.20419246109923,122.20419246109923,44
2007-05-17,127.45147705078125,136.67520908661197,114.78422089033783,136.38825604067847,1857
2007-05-18,122.98311614990234,122.98311614990234,122.98311614990234,122.98311614990234,10
2007-05-21,121.38434600830078,123.80301161389131,121.38434600830078,123.80301161389131,46
2007-05-22,122.98311614990234,125.36078472460466,121.34334126790364,121.34334126790364,1471
2007-05-23,123.51605987548828,123.80302553489831,117.24392484430767,117.24392484430767,743
2007-05-24,123.47505187988281,123.80300184746844,118.96567101788892,122.983114418015,922
2007-05-25,122.98311614990234,122.98311614990234,122.98311614990234,122.98311614990234,2152
2007-05-28,122.98311614990234,124.62289103190105,122.98311614990234,122.98311614990234,309
2007-05-29,122.98311614990234,123.06510989819809,122.98311614990234,123.06510989819809,1550
2007-05-30,122.98311614990234,124.70488478019678,117.48987279730461,117.48987279730461,534
2007-05-31,122.98311614990234,122.98311614990234,122.98311614990234,122.98311614990234,200
2007-06-01,122.98311614990234,122.98311614990234,122.98311614990234,122.98311614990234,100
2007-06-04,126.9595718383789,131.18198704210084,123.14708783367433,130.36209962308772,1476
2007-06-05,122.98311614990234,122.98311614990234,122.98311614990234,122.98311614990234,395
2007-06-06,122.98311614990234,127.73846580979647,122.98311614990234,123.10609426185644,2810
2007-06-07,120.44148254394531,126.672633262001,118.92469800147212,119.08867301815951,1740
2007-06-08,121.5073471069336,125.44281032511414,117.69487454242622,117.85884957016444,376
2007-06-11,121.5073471069336,121.5073471069336,121.5073471069336,121.5073471069336,0
2007-06-12,123.22907257080078,125.4427659382008,115.76809259903928,125.4427659382008,327
2007-06-13,118.88365936279297,118.88365936279297,118.88365936279297,118.88365936279297,7
