Price,Close,High,Low,Open,Volume
Ticker,DONEAR.NS,DONEAR.NS,DONEAR.NS,DONEAR.NS,DONEAR.NS
Date,,,,,
2006-12-20,182.62693786621094,189.00803301153448,175.26741332488632,186.32797824344712,124942
2006-12-21,178.54306030273438,182.83965429284046,173.86359019025488,181.22311526511464,147075
2006-12-22,187.47657775878906,187.47657775878906,179.52147407030802,179.52147407030802,274561
2006-12-26,189.09310913085938,194.32560167089105,181.2230922154018,191.3477574326098,323308
2006-12-27,187.09368896484375,193.47478358141237,184.62633757271865,190.58202588151602,37191
2006-12-28,183.22250366210938,191.22013712999296,182.15898788274345,188.96548887068536,182259
2006-12-29,190.87985229492188,192.41130491229336,181.26566528903217,185.2219395211964,224742
2007-01-02,192.4538116455078,200.45145804622365,191.1775927181737,195.64435896384305,137447
2007-01-03,191.5604705810547,194.58085820527805,187.39149362302555,194.58085820527805,193185
2007-01-04,188.83787536621094,192.24112615175156,186.32798050834901,188.11469236370644,195154
2007-01-05,189.09310913085938,190.58203125,187.90197662849513,190.28424163322364,143107
2007-01-08,187.64674377441406,191.43285769683268,185.98766160418248,190.36934182073915,65591
2007-01-09,190.87985229492188,197.04824494698028,188.029624290332,191.3903321732548,146326
2007-01-10,185.90255737304688,193.98527725883153,182.9247132045999,193.219551094179,50417
2007-01-11,186.07272338867188,190.5820330163361,178.6706559528151,188.11468153184077,58046
2007-01-12,183.09487915039062,188.02959510249588,182.07390656983765,183.8180750937331,52804
2007-01-15,183.35009765625,185.90253521062934,182.07387887906032,185.47712895156613,19437
2007-01-16,182.45677185058594,188.02959735509575,181.69104565159046,188.02959735509575,24890
2007-01-17,181.86119079589844,184.5412452567848,173.3530649107102,183.00979298334678,47153
2007-01-18,187.09368896484375,190.9648889620361,179.52146187946374,180.62752087614302,83853
2007-01-19,187.0086212158203,195.26150124267494,183.77553058134112,191.43284435556365,71416
2007-01-22,194.70849609375,196.36757830066895,186.45560232687035,187.17879833155465,191177
2007-01-23,190.11410522460938,200.7918077680724,188.02961659637288,195.6869312993926,93342
