Price,Close,High,Low,Open,Volume
Ticker,JAICORPLTD.NS,JAICORPLTD.NS,JAICORPLTD.NS,JAICORPLTD.NS,JAICORPLTD.NS
Date,,,,,
2002-07-01,4.629733085632324,4.629733085632324,4.487491343555519,4.487491343555519,14640
2002-07-02,5.093167781829834,5.093167781829834,4.726092551480245,4.955514515750279,21120
2002-07-03,5.350119113922119,5.350119113922119,5.350119113922119,5.350119113922119,26600
2002-07-04,5.386826515197754,5.620836975952297,5.175758333699307,5.607071783433671,47920
2002-07-05,5.657545566558838,5.657545566558838,5.322589710976986,5.574953519938582,27560
2002-07-08,5.932851791381836,5.937439897834062,5.868613487586592,5.868613487586592,36280
2002-07-09,5.886966705322266,6.14850756622858,5.7309597224702165,6.010854757912165,39880
2002-07-10,5.597895622253418,6.148508227500243,5.3225895384238315,5.873202143670657,31300
2002-07-11,5.32258939743042,5.790609946336852,5.102344098613314,5.597895473967251,281520
2002-07-12,5.474006652832031,5.5978942508067995,5.322588234425345,5.331764882844287,17160
2002-07-15,4.927982807159424,5.414357477064004,4.927982807159424,5.139050994085926,35200
2002-07-16,4.459961891174316,4.666441515168371,4.437019613488855,4.542553478219408,34080
2002-07-17,4.34525203704834,4.400313254838017,4.2718370799954375,4.276425186620498,139120
2002-07-18,4.496669769287109,4.496669769287109,4.3681936151896466,4.404901087788922,16580
2002-07-19,4.583849906921387,4.721503147950688,4.427842929594017,4.427842929594017,184960
2002-07-22,4.391135215759277,4.4507849648478786,4.3544277451797635,4.4507849648478786,16860
2002-07-23,4.432431697845459,4.450785435074292,4.391135679683682,4.404901310796016,3720
2002-07-24,4.313132286071777,4.404901411910106,4.313132286071777,4.404901411910106,7120
2002-07-25,4.129595756530762,4.3177217154253515,4.129595756530762,4.129595756530762,11120
2002-07-26,4.129595756530762,4.129595756530762,4.129595756530762,4.129595756530762,0
2002-07-29,3.9460575580596924,4.037826246891577,3.9460575580596924,4.037826246891577,1760
2002-07-30,3.7487545013427734,3.881819207858531,3.7487545013427734,3.863465470324896,22480
2002-07-31,3.578981876373291,3.6707505526725925,3.578981876373291,3.6707505526725925,2000
2002-08-01,3.4092092514038086,3.542273931847706,3.400032384435049,3.542273931847706,14300
2002-08-02,3.248614549636841,3.4413290091566204,3.239437681030842,3.386267797520628,3680
2002-08-05,3.4137988090515137,3.4137988090515137,3.395445069658266,3.395445069658266,6320
2002-08-06,3.450505256652832,3.5881584797582877,3.4413283896987195,3.5285087351596727,16080
2002-08-07,3.6248667240142822,3.6248667240142822,3.5881592483351605,3.5881592483351605,9800
2002-08-08,3.5147438049316406,3.794638832209221,3.4688594638999866,3.4780363321063175,15320
2002-08-09,3.601923942565918,3.67075055931177,3.395444311122144,3.5009783984541087,10960
2002-08-12,3.63863205909729,3.7395776211293796,3.3220297408968213,3.7395776211293796,3720
2002-08-13,3.418386697769165,3.418386697769165,3.418386697769165,3.418386697769165,500
2002-08-14,3.6111011505126953,3.65698549306935,3.4963901847241563,3.4963901847241563,1800
2002-08-15,3.6111011505126953,3.6111011505126953,3.6111011505126953,3.6111011505126953,0
2002-08-16,3.6111011505126953,3.6111011505126953,3.6111011505126953,3.6111011505126953,0
2002-08-19,3.418386697769165,3.716635471789696,3.40920982924498,3.712046928130701,6200
2002-08-20,3.299086809158325,3.3816786109103103,3.1660221302721334,3.1660221302721334,10780
2002-08-21,3.4092092514038086,3.4734475389788924,3.30367517186619,3.30367517186619,1900
2002-08-22,3.33579421043396,3.661573305739642,3.133902924695667,3.133902924695667,4520
2002-08-23,3.533097743988037,3.6340435188413007,3.225672532046431,3.225672532046431,5520
2002-08-26,3.436739921569824,3.487212800312052,3.26237944564955,3.26237944564955,2160
2002-08-27,3.3679137229919434,3.3954443260525853,3.2348490321352825,3.2348490321352825,800
2002-08-28,3.5514514446258545,3.5514514446258545,3.2623799731471923,3.2623799731471923,2200
2002-08-29,3.234848737716675,3.3954440170174554,3.216495004013372,3.216495004013372,9040
2002-08-30,3.0926074981689453,3.2486144799165806,2.9182469983970134,3.2164955498818095,39140
2002-09-02,3.138491630554199,3.2302603021168133,3.1201378962416766,3.1339030875791827,10880
2002-09-03,3.257791042327881,3.257791042327881,3.120138029121615,3.120138029121615,600
2002-09-04,3.106372833251953,3.285321872193744,3.0834305534005817,3.0834305534005817,2100
2002-09-05,3.156845808029175,3.211907018696313,3.078842316853827,3.078842316853827,4520
2002-09-06,3.234848737716675,3.234848737716675,3.0421343150382327,3.0421343150382327,3840
2002-09-09,3.2073183059692383,3.211906849346467,2.9366005917326707,2.9366005917326707,5160
2002-09-10,3.2073183059692383,3.2073183059692383,3.2073183059692383,3.2073183059692383,0
2002-09-11,3.266968250274658,3.2807336624264534,3.08801920506414,3.2807336624264534,1000
2002-09-12,3.0834310054779053,3.2807340285046593,3.028369788314367,3.2807340285046593,6120
2002-09-13,3.2440261840820312,3.2990873950280886,3.211907034966596,3.2990873950280886,13820
2002-09-16,3.225672483444214,3.4321521362152723,3.2210839397501076,3.4321521362152723,2000
2002-09-17,3.372501850128174,3.41379786169998,3.1430799525848454,3.41379786169998,2000
2002-09-18,3.2715563774108887,3.349559859154648,3.184376028332203,3.184376028332203,1840
2002-09-19,3.1247265338897705,3.1339034019666383,3.0971959296591662,3.0971959296591662,700
2002-09-20,3.074254035949707,3.074254035949707,3.0054276261310195,3.0054276261310195,720
2002-09-23,3.280733823776245,3.3495604503325773,3.028369599334298,3.028369599334298,1960
2002-09-24,3.395444631576538,3.4137983686017783,3.303675727656532,3.3770908945512974,5720
2002-09-25,3.166022777557373,3.2348494024856698,3.166022777557373,3.2348494024856698,400
2002-09-26,3.1293153762817383,3.2990875613197432,2.9411892345427737,3.2990875613197432,1000
2002-09-27,3.33579421043396,3.390855410509742,2.858596705522999,2.858596705522999,7680
2002-09-30,3.248614549636841,3.2577914182428396,3.129315257758857,3.129315257758857,5800
2002-10-01,3.3541488647460938,3.3770911471405123,3.2119072827646327,3.2119072827646327,6640
2002-10-02,3.3541488647460938,3.3541488647460938,3.3541488647460938,3.3541488647460938,0
2002-10-03,3.2210841178894043,3.225672661837276,3.2210841178894043,3.225672661837276,380
2002-10-04,3.097195863723755,3.326617779555144,3.097195863723755,3.326617779555144,2160
2002-10-07,3.3036751747131348,3.3036751747131348,3.184375904016454,3.211906504946457,5440
2002-10-08,3.2210841178894043,3.3495605041101832,3.2119072487874787,3.3495605041101832,2800
2002-10-09,3.2210841178894043,3.2210841178894043,3.2210841178894043,3.2210841178894043,0
2002-10-10,3.2210841178894043,3.2210841178894043,3.2210841178894043,3.2210841178894043,0
2002-10-11,3.3036751747131348,3.3036751747131348,3.3036751747131348,3.3036751747131348,0
2002-10-14,3.188964366912842,3.188964366912842,3.188964366912842,3.188964366912842,500
2002-10-15,3.188964366912842,3.188964366912842,3.188964366912842,3.188964366912842,0
2002-10-16,3.1935527324676514,3.1981410565037502,3.1843758656016887,3.1843758656016887,720
2002-10-17,3.1935527324676514,3.1935527324676514,3.1935527324676514,3.1935527324676514,0
