Price,Close,High,Low,Open,Volume
Ticker,JKTYRE.NS,JKTYRE.NS,JKTYRE.NS,JKTYRE.NS,JKTYRE.NS
Date,,,,,
2004-06-14,5.659239768981934,5.659239768981934,5.078804796688257,5.078804796688257,10
2004-06-15,5.768071174621582,5.775326776299171,5.768071174621582,5.775326776299171,10
2004-06-16,6.239675045013428,6.500870483890667,6.239675045013428,6.500870483890667,1500
2004-06-17,5.194892883300781,5.724539808539887,5.158615905168143,5.724539808539887,6500
2004-06-18,5.165869235992432,5.165869235992432,5.165869235992432,5.165869235992432,1000
2004-06-21,5.543153285980225,5.572175003762883,5.543153285980225,5.572175003762883,10
2004-06-22,5.543153285980225,5.543153285980225,5.543153285980225,5.543153285980225,0
2004-06-23,5.289211750030518,5.296467350631557,5.289211750030518,5.296467350631557,10
2004-06-24,4.969973087310791,4.969973087310791,4.969973087310791,4.969973087310791,250
2004-06-25,5.115081787109375,5.7970923691556,4.788587006206975,5.434320621019221,14025
2004-06-28,5.332745552062988,5.332745552062988,5.325490295745994,5.325490295745994,10
2004-06-29,5.216658592224121,5.245680308917946,5.151359556679941,5.238424706761413,7625
2004-06-30,5.340000629425049,5.340000629425049,5.035272282810563,5.035272282810563,2045
2004-07-01,4.969973087310791,5.086060286807258,4.962717831948201,5.086060286807258,54585
2004-07-02,5.078804016113281,5.1513582900073995,5.078804016113281,5.086059616485727,59715
2004-07-05,5.078804016113281,5.078804016113281,5.078804016113281,5.078804016113281,2000
2004-07-06,5.006249904632568,5.0788041808805025,5.006249904632568,5.0788041808805025,3500
2004-07-07,5.06429386138916,5.07880471817387,4.991739577465614,5.07880471817387,11625
2004-07-08,4.875652313232422,5.27470138852387,4.8611414566381566,5.07880465151824,1326380
2004-07-09,5.1078267097473145,5.209402712768763,4.78858749714234,4.969973389806566,103875
2004-07-12,5.078804016113281,5.136847435228576,5.042526706183187,5.078804016113281,72765
2004-07-13,5.144103050231934,5.151358304658947,4.861140862290964,4.861140862290964,21020
2004-07-14,5.151358127593994,5.514129831593093,5.049782147344742,5.151358127593994,216520
2004-07-15,5.593940258026123,5.64472842616982,5.194891205671871,5.194891205671871,146435
2004-07-16,5.7027716636657715,5.876902273088599,5.514130198954882,5.528641054242944,96865
2004-07-19,5.659239768981934,5.942201307675074,5.52864170993449,5.586685137970633,50580
2004-07-20,5.44157600402832,5.775326026619344,5.260190137227377,5.260190137227377,6070
2004-07-21,5.73179292678833,5.73179292678833,5.4778528060880864,5.4778528060880864,24500
2004-07-22,5.485107898712158,5.535896059743527,5.470597044984059,5.485107898712158,5375
2004-07-23,5.485107898712158,5.514129606168357,5.44157533752786,5.506874352287329,7315
2004-07-26,5.586684703826904,6.087310096650125,5.39078797644508,6.087310096650125,79045
