Price,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,
2002-08-12,417.6494140625,423.76760302078014,417.52540166274434,420.0884339271549,7100
2002-08-13,420.87384033203125,425.79320885702214,416.28520516409833,416.28520516409833,8800
2002-08-14,425.297119140625,425.7931686665646,415.127674924888,415.127674924888,18700
2002-08-15,425.297119140625,425.297119140625,425.297119140625,425.297119140625,0
2002-08-16,422.48614501953125,427.322805750962,421.6593619568707,426.6200603328339,9400
2002-08-19,424.1397399902344,429.05910964019336,423.3542859347221,425.7933062280131,9100
2002-08-20,432.6554870605469,452.5396059695726,424.38765795385643,427.03337336056217,87200
2002-08-21,429.67919921875,441.3368210707119,428.27365781674536,438.19505529512554,26000
2002-08-22,433.9370422363281,439.0217779285421,427.07475335185666,430.7539478357259,17700
2002-08-23,464.56939697265625,472.9198852508698,442.3289136524744,442.3289136524744,701900
2002-08-26,451.75421142578125,462.9984390460554,438.19495124001674,462.9984390460554,50100
2002-08-27,456.3841552734375,461.3448526133662,451.42345793350887,451.42345793350887,29100
2002-08-28,459.1539001464844,460.51811222600116,447.2895847652902,447.2895847652902,20100
2002-08-29,457.9136962890625,469.57136564283564,453.0770364319894,458.8645168243688,138400
2002-08-30,458.9059143066406,462.9158423112763,457.21101917441933,458.9472433658984,39400
2002-09-02,462.13031005859375,464.23859635195515,460.51807331796795,461.75824766263037,22900
2002-09-03,461.5517272949219,463.4119895186811,459.69146507116267,462.9985979134012,8400
2002-09-04,462.3370361328125,462.99845240081976,456.42551785006424,456.42551785006424,7800
2002-09-05,472.2585144042969,477.88062936305994,466.30566602208614,472.09314769257304,974200
2002-09-06,467.4631652832031,471.26634719826626,464.65208267618533,471.26634719826626,14500
2002-09-09,463.08123779296875,466.0576875113464,459.40209302129756,462.99857966030845,16800
2002-09-10,463.08123779296875,463.08123779296875,463.08123779296875,463.08123779296875,0
2002-09-11,463.45330810546875,465.89232861402877,459.69145467506655,465.89232861402877,32400
2002-09-12,462.9984436035156,463.82522653852186,460.64213242387797,460.64213242387797,13200
2002-09-13,460.55938720703125,462.99840676379773,458.45110098308186,462.99840676379773,1900
2002-09-16,461.51019287109375,462.7916961846686,455.557346311304,455.557346311304,5300
2002-09-17,463.3705749511719,463.7839664801741,458.1204722551436,461.3449463664943,7300
2002-09-18,463.5771789550781,463.8252037308187,459.89798498265225,459.89798498265225,7800
2002-09-19,458.9059143066406,462.99850042979176,456.79762765617846,462.99850042979176,23800
2002-09-20,456.7149963378906,463.82531068373737,455.144088291261,455.144088291261,2900
2002-09-23,461.0141906738281,462.9984901022558,455.06139331420655,455.06139331420655,6000
2002-09-24,471.9691467285156,479.5342328280946,457.2110875067868,461.3036742415944,195900
2002-09-25,464.3627624511719,470.43959823622373,462.17176698426897,469.5714860473359,16700
2002-09-26,462.2957458496094,465.47884029169376,461.01419179825746,463.0811493483982,4700
2002-09-27,465.1481018066406,470.3568751462404,458.8645711081299,470.3568751462404,58000
2002-09-30,471.26641845703125,472.4239351085534,465.72696098961717,467.9592856959293,151700
2002-10-01,463.5359802246094,467.5871872682187,461.3449847534589,465.4789003874505,7000
2002-10-02,463.5359802246094,463.5359802246094,463.5359802246094,463.5359802246094,0
2002-10-03,466.3055725097656,469.1166546568341,462.99844078983824,462.99844078983824,8900
2002-10-04,467.7525939941406,470.4396393860645,466.3057233984893,470.31560172130065,6800
2002-10-07,468.00048828125,470.93555772092907,460.51811252400887,460.51811252400887,13700
2002-10-08,468.3726501464844,469.6128248600232,459.6914271517128,459.6914271517128,8200
2002-10-09,466.88433837890625,468.7446000021474,464.6520143384517,464.6520143384517,8800
2002-10-10,468.4140625,470.43969165152595,464.8589044482785,465.10692934252006,37100
2002-10-11,463.9906005859375,466.30558274815024,462.99845095561017,465.0654083259477,10600
2002-10-14,463.1226501464844,475.4003610243227,463.0399415451215,475.4003610243227,1600
2002-10-15,463.1226501464844,463.1226501464843,463.1226501464843,463.1226501464843,0
2002-10-16,463.1226501464844,463.82539571242614,460.104871147888,462.9986124758621,5600
2002-10-17,463.94927978515625,466.71898252555343,458.4511528971114,459.0712401192445,12400
2002-10-18,465.1481018066406,469.447383556436,460.6007952461096,460.6007952461096,34500
2002-10-21,453.36639404296875,466.3055669274143,450.7620581223988,461.42752751378845,29200
2002-10-22,456.6322021484375,488.6287116321429,454.73061150199425,483.6680140521212,13400
2002-10-23,459.1126403808594,461.3449648193264,453.49052545412275,458.8646155461042,20400
2002-10-24,463.65985107421875,466.71895796834775,453.11836885261306,453.11836885261306,10700
2002-10-25,462.66766357421875,465.47874545481113,452.66361125490073,452.66361125490073,30200
2002-10-28,465.1481018066406,467.13240121818626,453.8212149261276,464.23866067966657,31600
2002-10-29,463.5771789550781,465.18941569162683,460.10468070623995,460.10468070623995,4300
2002-10-30,459.6914367675781,465.39626075432585,453.94528371541554,453.94528371541554,16900
2002-10-31,455.14410400390625,458.07917396440683,454.7307124471361,457.3350994399225,25100
2002-11-01,441.29541015625,452.87037173411886,430.79525634661775,447.3722447995001,49900
2002-11-04,442.7835693359375,443.9824146262826,437.9055805330074,440.8406497177674,4000
2002-11-05,439.3111267089844,450.51407672527284,438.2363189019317,450.51407672527284,5300
2002-11-06,439.3111267089844,439.3111267089844,439.3111267089844,439.3111267089844,0
2002-11-07,440.4685974121094,442.78357947863213,434.0610298289206,439.0217273126797,32100
2002-11-08,435.0532531738281,438.19501868694147,434.06110341630995,437.4922732760673,6900
2002-11-11,433.6890869140625,436.54149884567863,432.0768496950762,434.2678452058574,5800
2002-11-12,436.66546630859375,458.0377869022016,433.64768814116377,458.0377869022016,12600
2002-11-13,429.596435546875,441.3367644835414,429.10038592169315,438.1536700524915,16700
2002-11-14,426.413330078125,429.9271578102278,424.1810058969291,426.7026839415194,30500
2002-11-15,425.5865783691406,428.1909651824677,424.13970802014404,425.79327413328303,13400
2002-11-18,427.3641052246094,433.4822684646015,424.9664146068729,426.61998042246387,15400
2002-11-19,427.3641052246094,427.3641052246094,427.3641052246094,427.3641052246094,0
2002-11-20,428.1082763671875,436.12808247879593,426.7027350135513,431.58077545769,24100
2002-11-21,426.6201171875,429.92724987887595,424.966550841812,429.92724987887595,6000
2002-11-22,428.0256042480469,437.3682428206471,425.13186351104827,426.62006294036655,13400
2002-11-25,434.18511962890625,438.19499705836483,427.73617175476414,429.9271669251881,6800
2002-11-26,442.65966796875,448.94319900355606,435.7973282398657,445.6360667825354,22200
2002-11-27,433.6063232421875,440.675307290969,429.96845811882025,440.675307290969,6300
2002-11-28,442.1222839355469,444.726671010625,436.70686446331257,440.5927553123029,5800
2002-11-29,442.1222839355469,442.1222839355469,442.1222839355469,442.1222839355469,0
2002-12-02,449.0257873535156,450.4726574753949,445.3466436995684,450.4726574753949,7500
2002-12-03,450.6794128417969,452.6637123137846,448.1577346739851,448.9431886509315,7700
2002-12-04,450.34869384765625,453.077067556067,446.0080832551939,452.167626474206,23300
2002-12-05,441.50225830078125,451.42365736372017,439.0219085350465,450.5968741084752,12300
2002-12-06,446.2561340332031,488.6287637121316,442.4115728137876,450.5967448783616,13500
2002-12-09,428.3562927246094,442.3289469343998,425.87594348946317,438.1950315424896,30100
2002-12-10,431.7047424316406,436.9547940386487,429.26572260886894,429.92713888381707,9800
2002-12-11,431.2086486816406,432.40749408284887,421.8660111965079,427.44679625398254,33200
2002-12-12,431.25,431.9114667815913,428.6043347249568,428.7283218993823,4500
2002-12-13,431.2086486816406,431.99410259711,429.10036219693797,430.0511827992685,6500
2002-12-16,426.9508361816406,432.40758475246366,423.3129701591996,430.00989344728595,29200
2002-12-17,427.8188781738281,431.99412227743636,426.24797027132354,427.24011997486167,2600
2002-12-18,427.5709228515625,431.49814278323714,426.7027601806058,428.273668338411,3000
2002-12-19,423.31292724609375,429.88586267382925,421.6593611240387,424.7184685424072,17700
2002-12-20,426.6201171875,428.273683533188,425.379942428234,427.446900360344,13500
2002-12-23,429.472412109375,430.7539155852495,426.82669658519205,428.6869582167982,22400
2002-12-24,429.6378479003906,433.0689674062333,428.2736356326432,432.4075510345027,2700
2002-12-25,429.6378479003906,429.6378479003906,429.6378479003906,429.6378479003906,0
2002-12-26,430.1751708984375,432.2421283316059,427.4467971792208,432.2421283316059,3000
2002-12-27,432.5315246582031,436.5414018193294,411.77924213492895,429.9271381554002,5000
2002-12-30,431.74615478515625,437.3682699011481,429.9272218309962,429.9272218309962,10000
2002-12-31,432.8623046875,433.97849220892965,421.65940318562605,425.79331890313216,10300
2003-01-01,433.9784851074219,434.0611432352841,424.1397456756204,424.1397456756204,2300
2003-01-02,434.2265625,436.5415454514922,430.91942957991296,436.4588873136275,1600
2003-01-03,435.260009765625,436.5001845201308,426.6614446159154,426.6614446159154,5000
2003-01-06,436.83074951171875,443.1556592363229,435.05319645479125,436.95478713879976,8800
2003-01-07,438.5670166015625,442.3288688515668,436.54138832453697,436.54138832453697,7600
2003-01-08,442.20489501953125,445.5947358092233,436.9548428263347,439.55922962434,35200
2003-01-09,443.5277099609375,444.76788434774437,440.3032363701096,440.3032363701096,4100
2003-01-10,449.2740478515625,450.59688089473894,437.78174024543904,438.19513187928743,11400
2003-01-13,448.9844665527344,453.4077855700532,447.7029630852219,453.4077855700532,13000
2003-01-14,445.18115234375,453.07691699071574,444.06496542749136,451.42335160023873,10400
2003-01-15,448.6124267578125,449.7699431200912,443.0730211374419,448.1163771527379,8000
2003-01-16,443.8583679199219,448.1163199272376,442.3288397805759,446.04936273200127,7800
2003-01-17,448.9432373046875,450.55547449254806,441.50218917256564,442.4943390160827,18500
2003-01-20,443.6103210449219,446.46273192478304,441.5020349033965,446.46273192478304,9400
2003-01-21,441.3367004394531,446.42143544243913,438.1949355226104,444.80919870031016,11500
2003-01-22,442.94903564453125,444.80929757677615,438.8564493010256,439.021816009792,7400
2003-01-23,453.36639404296875,454.73060604623737,446.4627768453967,446.4627768453967,274600
2003-01-24,446.5041809082031,450.59676714270813,445.01598149461034,445.8014354932056,11700
2003-01-27,455.5574951171875,458.0378444553936,439.14587051452503,449.7700133280399,20500
2003-01-28,456.6322021484375,469.6127042420595,447.57891897233276,460.5180920120196,12000
2003-01-29,446.7521057128906,453.90379775703275,444.8091861444146,444.8091861444146,12900
2003-01-30,445.8013916015625,452.9944135990396,439.22845683726734,446.545466003684,15800
2003-01-31,446.1320495605469,450.39000184202666,437.120145886745,445.84269571971157,5200
2003-02-03,447.04156494140625,451.4235046189513,444.80924081501064,446.13207339066753,5900
2003-02-04,443.44500732421875,454.64795647186656,442.5355662801884,450.59669990229366,12900
2003-02-05,441.088623046875,452.20886178045157,439.22836175005125,452.20886178045157,7300
2003-02-06,440.013916015625,444.5612224466224,438.19498335066027,441.54344435728353,6700
2003-02-07,440.013916015625,442.32889828793066,439.8485493255684,439.88987838237534,3500
