Price,Close,High,Low,Open,Volume
Ticker,OAL.NS,OAL.NS,OAL.NS,OAL.NS,OAL.NS
Date,,,,,
2020-04-15,162.69451904296875,171.91485411186622,149.80586170663437,154.6638880360126,2657
2020-04-16,156.64674377441406,167.89953806514475,151.09470123496743,162.6945038574506,3139
2020-04-17,165.66880798339844,170.52683382604033,161.10820056239274,170.47725904640137,3055
2020-04-20,166.95765686035156,169.53539404918078,162.5953486787465,166.5115141121576,1053
2020-04-21,162.1987762451172,165.96621724005166,158.72875365539485,159.026172060607,1725
2020-04-22,159.9185028076172,173.50116219373515,156.74591315312333,167.55255091852138,2292
2020-04-23,163.98336791992188,173.5011514205158,160.61249445784892,171.4191315522297,1397
2020-04-24,154.46559143066406,158.5800410397642,150.25199226043662,158.03474870976203,1927
2020-04-27,158.08432006835938,160.56290776189934,152.73057670155254,158.233044406831,1042
2020-04-28,160.6620635986328,162.3970750519051,155.65531323642722,158.629618584894,1915
2020-04-29,158.629638671875,160.76121839028784,153.1271700548241,153.1271700548241,2436
2020-04-30,160.11676025390625,162.5457730959155,154.66386748984132,154.66386748984132,1610
2020-05-04,151.78871154785156,161.50476289322927,150.10325986768362,150.59897739053343,3296
2020-05-05,153.17672729492188,157.58861058944697,150.79728903866774,153.12715251289586,2060
2020-05-06,156.15103149414062,158.6296192956349,151.68957345145088,158.03475217203652,1854
2020-05-07,152.68101501464844,156.448471657513,151.78872941969894,156.448471657513,474
2020-05-08,150.15286254882812,153.5733110665017,149.70671972097523,152.82973464404654,1243
2020-05-11,152.18528747558594,152.68100502436636,148.71526463412306,151.19385237802513,1721
2020-05-12,151.24343872070312,151.6895815230922,146.93068966537513,150.74772113402636,543
2020-05-13,147.12896728515625,157.0433185881479,135.47960450414107,157.0433185881479,4000
2020-05-14,147.4263916015625,148.71526021571844,146.13752298740656,146.13752298740656,1211
2020-05-15,148.36825561523438,149.70669904201515,145.74095867004124,146.23667621653797,1944
2020-05-18,142.56838989257812,146.73241485611803,141.77523867854646,146.73241485611803,3858
2020-05-19,139.14793395996094,151.094715810456,137.80949041191445,142.76666632601209,7763
2020-05-20,141.7256622314453,142.76667224216462,132.8523200031254,137.56163731666902,4177
2020-05-21,139.09835815429688,147.525557146412,131.76172877841887,131.76172877841887,2770
2020-05-22,138.35476684570312,140.43677141285812,135.82660439520907,138.80090960094358,1833
2020-05-26,137.6607666015625,142.1717841030012,135.87618043593136,135.87618043593136,456
2020-05-27,138.5530548095703,138.80091358382714,135.4300403051738,135.4300403051738,2482
2020-05-28,139.54449462890625,143.7085191517155,137.3137655851049,137.3137655851049,2898
2020-05-29,139.09835815429688,142.17179812161993,137.85906418486817,138.55306578212821,4217
2020-06-01,148.36825561523438,156.5475951324306,140.8829327656128,142.7666533910608,6080
2020-06-02,152.73056030273438,154.2672875333491,146.78195047694607,146.78195047694607,7386
2020-06-03,152.63143920898438,158.58005014375297,149.7067085250098,153.5732995813694,3849
2020-06-04,169.03968811035156,170.8738491352227,155.95274754033133,156.0518819755599,13411
2020-06-05,165.27223205566406,179.2514733477323,162.79364424700654,179.2514733477323,11375
2020-06-08,162.05006408691406,177.36773335795164,160.31505266172633,165.5696617179147,10547
2020-06-09,157.78689575195312,162.05006985990877,151.24343293499527,158.62962166830584,3473
2020-06-10,168.494384765625,172.50969976861768,153.77158325878304,153.77158325878304,23700
2020-06-11,178.06175231933594,196.7998699009861,169.53540429757493,169.53540429757493,82899
2020-06-12,176.4754638671875,188.8684037455012,167.5525471548016,169.53541753533182,66198
2020-06-15,177.9626007080078,188.12481049774087,175.1370046176717,179.44975336016387,21049
2020-06-16,176.27716064453125,184.45650007285533,168.69267318868057,173.55071416842324,16273
2020-06-17,172.1627197265625,177.96262180890074,169.5849972340462,170.3285736482895,7212
2020-06-18,173.5507049560547,175.48400023814347,170.2293915556755,170.477250313074,4440
2020-06-19,170.82427978515625,176.4754571282499,167.5525407565968,174.29430281857688,12155
2020-06-22,174.4429931640625,178.45830812243696,170.62597731719154,171.27040404528327,7593
2020-06-23,176.5250244140625,178.26003585708284,171.220840522732,174.83958775217684,5587
2020-06-24,167.50294494628906,179.44974005868875,162.2483362725421,178.01216229378295,14117
2020-06-25,167.0568084716797,168.54396106935044,164.03292849746282,166.9576589139289,3990
2020-06-26,175.4840087890625,176.47544386696683,167.602102945343,170.37812418909482,8972
2020-06-29,170.6259765625,183.6633412969846,169.38668276157568,180.44117741458138,12830
2020-06-30,186.9846649169922,200.91431589544527,183.56420173770044,186.38979780891563,139979
2020-07-01,207.8048095703125,215.63714105628966,184.40693442055115,184.6052184211899,92438
2020-07-02,249.34593200683594,249.34593200683594,206.16892962178184,206.21850440326787,183649
2020-07-03,274.280517578125,274.280517578125,249.89122290915995,255.74069914457093,323293
2020-07-06,266.2994689941406,297.43052450808017,260.00385017414675,275.61895271082096,297457
2020-07-07,265.2088928222656,273.4377921606266,257.7731294721087,264.7131752655885,84557
2020-07-08,262.1850280761719,276.4120977612584,259.95429906902194,268.6789159722846,69787
2020-07-09,261.54052734375,269.7694555710206,257.7730866414675,266.69600117905674,38237
2020-07-10,247.0656280517578,263.1268739164009,241.91016847062662,262.73030592096745,59989
2020-07-13,245.6776123046875,256.732122364039,243.49645818577957,252.76636697316292,50639
2020-07-14,269.8686218261719,270.2155998747178,241.1665661840136,241.1665661840136,138922
2020-07-15,271.6532287597656,289.4990613060276,268.6789233353886,280.5265853783034,124242
2020-07-16,269.02593994140625,279.1881504531962,258.76457986118805,272.64467226753527,37709
2020-07-17,279.4360046386719,282.55901932736595,263.82090093900166,277.205275538719,52203
2020-07-20,288.8050537109375,296.4391166433638,280.32829508665924,287.51620008888125,82963
2020-07-21,309.52606201171875,313.98752013020555,287.61533942302157,289.54861978731293,141558
2020-07-22,328.0163269042969,340.45882599028863,309.8234857687178,312.3020736548675,301999
2020-07-23,334.85723876953125,345.0194495686066,310.9636444004651,337.08796796932825,173876
2020-07-24,319.638671875,343.0365464096741,315.7720810158416,332.1307602521411,70451
2020-07-27,327.5205993652344,336.1460667929643,315.0285107477578,325.58728877036106,70501
2020-07-28,341.35107421875,345.0193959912505,325.5377033895356,325.5377033895356,72456
2020-07-29,345.9117126464844,353.9423432934581,328.1650297762875,341.10324618915695,86841
2020-07-30,353.74407958984375,367.6241728737354,341.49987864794394,346.01089686272786,118319
2020-07-31,340.26055908203125,364.7489893851729,337.0879544669214,345.2177348830154,62802
2020-08-03,326.87615966796875,358.8499411632282,322.46426143668646,342.04510436789184,61879
2020-08-04,325.28985595703125,341.0536676854385,322.2164011563009,329.850463378483,40018
2020-08-05,337.980224609375,344.5237024187844,325.33942689472894,325.33942689472894,73877
2020-08-06,337.68280029296875,346.7048657323462,332.18031734758347,342.5408262199572,30370
2020-08-07,343.2348327636719,356.8174750462862,336.0964881691058,342.04509857917844,47294
2020-08-10,349.62957763671875,354.9337614073134,347.002280705474,350.9680210563937,27738
2020-08-11,324.4966735839844,346.95270124387054,314.68147282710873,324.29840473147743,192350
2020-08-12,305.6594543457031,333.4692293397464,300.40485998637547,327.1736098861515,80649
2020-08-13,302.9330139160156,317.1601151181818,299.66128985138425,305.6594607219422,32349
2020-08-14,304.8167419433594,314.2849353051192,291.481927380773,303.3791489065188,21595
2020-08-17,304.1722717285156,312.2029019617338,299.6116945461772,308.33631118461324,15799
2020-08-18,326.1325988769531,330.1478990603425,305.6098795355873,309.3277612817624,42745
2020-08-19,343.284423828125,344.92028578935117,329.1564728113718,337.087954083935,61664
2020-08-20,351.26544189453125,354.933763846824,332.3786154459434,337.0879321450284,45085
2020-08-21,353.74407958984375,358.8995549120558,343.0365911590368,350.9680730355463,32695
2020-08-24,347.00225830078125,359.89091360909595,343.08607785462266,348.53897048506354,23202
2020-08-25,344.7715759277344,355.3799442126061,340.65712607645787,347.00230503150834,16872
2020-08-26,332.477783203125,347.0023020818839,329.4043281905884,344.7715729970718,18023
2020-08-27,324.3479919433594,342.09467445731394,322.216412496545,342.09467445731394,23800
2020-08-28,324.8932800292969,333.71704597851124,320.97709945470666,325.1906984436874,10937
2020-08-31,303.9244079589844,332.1307477429136,299.4133905025669,329.15644253924575,29423
2020-09-01,303.72613525390625,315.17719804057657,285.53329593722236,304.3705619886363,15905
2020-09-02,312.103759765625,318.2506695351382,298.4219673834162,314.1857795427955,10009
2020-09-03,319.6882629394531,332.13076145258555,312.3020592763118,320.2335401468213,13067
2020-09-04,320.6300964355469,327.07442440760656,307.3448725136171,317.25922323986276,14221
2020-09-07,311.9054870605469,332.1307569552382,309.82346730899087,332.1307569552382,8711
2020-09-08,317.4079284667969,325.1906997404838,309.7738966570951,315.07805002412414,19357
2020-09-09,319.2916564941406,323.25739682758723,312.252491607231,314.28492142564335,38441
2020-09-10,334.758056640625,336.09650008157,320.08482921151955,320.1839787731077,25676
2020-09-11,329.8009033203125,342.9374193256426,319.7874020499151,342.9374193256426,8706
2020-09-14,338.5751037597656,347.9441780307075,335.1546403894346,337.0383913795877,26124
2020-09-15,341.301513671875,344.37496835748703,337.0383550879656,338.5750673026734,10302
2020-09-16,372.4822082519531,375.40692387156514,343.0365713806698,347.99374726767365,205573
2020-09-17,395.037353515625,405.29868326630816,364.055004615736,371.7881867986682,162515
2020-09-18,408.0251159667969,420.0710770106377,404.50553335503537,415.41131979352895,95159
2020-09-21,370.10272216796875,411.4455792184197,367.2275663403328,411.4455792184197,63808
2020-09-22,357.61065673828125,370.7967316157192,336.7905194015698,361.9233752673556,40966
2020-09-23,366.5831298828125,384.6272608868934,347.25014534538224,366.8309886589334,38437
2020-09-24,349.62957763671875,365.29427017657025,347.10143026548656,353.94232631958346,18469
2020-09-25,360.7336730957031,366.7814333560159,348.98516091700185,348.98516091700185,16313
2020-09-28,370.10272216796875,374.7624793844883,360.1388112074481,362.36954025140335,25298
2020-09-29,362.1712341308594,376.7453423724849,356.86708048925817,376.7453423724849,11221
2020-09-30,347.9937438964844,362.71656218949875,338.07939221852183,361.8738362456319,16798
