Price,Close,High,Low,Open,Volume
Ticker,REPCOHOME.NS,REPCOHOME.NS,REPCOHOME.NS,REPCOHOME.NS,REPCOHOME.NS
Date,,,,,
2013-04-01,149.4597625732422,162.48436853238792,145.94957998250615,147.75085362531067,7902123
2013-04-02,160.96023559570312,162.94625295069565,150.70680892404965,151.4919864430147,786420
2013-04-03,158.46615600585938,165.34795348555474,157.4962350239502,165.34795348555474,347423
2013-04-04,157.8195343017578,160.22122777348628,156.2491794569449,158.88181990146137,72842
2013-04-05,159.29750061035156,160.59073321814108,156.66487418900357,157.8195386093381,46510
2013-04-08,160.6369171142578,161.6530274965319,157.03436956805956,161.6530274965319,216898
2013-04-09,158.28138732910156,161.4220685761213,157.9580756882217,160.08266081180474,13703
2013-04-10,158.5585174560547,160.63691347680415,156.11063444740424,158.1428410709098,58029
2013-04-11,155.46401977539062,159.8055551601588,154.2631659638527,159.8055551601588,21009
2013-04-12,157.54238891601562,158.88179659153283,153.43178711390192,155.18687108940415,15542
2013-04-15,158.74325561523438,158.88180969498228,155.0021404167839,157.26527965448102,188513
2013-04-16,158.09664916992188,158.88182662555812,156.20301076813715,158.327582057459,35269
2013-04-17,156.80343627929688,159.1589546359291,155.1869060083763,158.4661559483917,312019
2013-04-18,157.634765625,158.69706524493492,156.11061437707926,156.9881564317919,17425
2013-04-22,155.8796844482422,160.0826654257032,155.46400810871825,159.25129865163177,17107
2013-04-23,156.5262908935547,159.80554034979502,155.7873029168631,158.83561951132629,16237
2013-04-25,155.27928161621094,157.95809751500508,155.1869028217594,156.8958118539376,16586
2013-04-26,157.6809539794922,157.95807623048012,152.55424166879652,153.33941903075848,287777
2013-04-29,159.85171508789062,162.5767197880611,156.11060025103595,156.11060025103595,26285
2013-04-30,157.86572265625,160.72929621533802,157.03436986556017,158.00429085138194,4645
2013-05-02,159.57461547851562,160.7292798452198,157.77334188546195,158.88181685849312,69441
2013-05-03,158.8356170654297,160.68307993119802,157.21908705788238,160.68307993119802,23542
2013-05-06,161.00640869140625,161.65301794417803,159.38987851196447,160.72928641306845,18602
2013-05-07,161.93016052246094,162.5767698562932,159.89795371826256,161.60684880803163,35191
2013-05-08,163.59286499023438,165.71743630320427,160.72929151489012,161.6530230753205,19369
2013-05-09,167.4263458251953,169.9666076239224,163.9623524632947,164.3780288477178,63439
2013-05-10,173.0611114501953,183.2683337969384,168.11914202197883,168.11914202197883,136776
2013-05-13,179.43484497070312,184.6539223395633,177.81831483583193,184.6539223395633,62436
2013-05-14,181.0052032470703,182.8988558360956,180.12766105070023,181.79038074094257,21384
2013-05-15,186.6399688720703,188.25649913979052,170.89034258756283,183.31452954046438,459618
2013-05-16,189.96536254882812,206.91583989230034,185.67001704621592,185.67001704621592,113507
2013-05-17,193.7064971923828,194.3531064382705,189.3187724663261,192.04377763508273,37124
2013-05-20,195.23065185546875,198.6022660835285,193.10606665510534,197.53998053085863,79915
2013-05-21,192.967529296875,201.3273032559506,184.74632353746802,200.3573822383737,30897
2013-05-22,192.0899658203125,196.75481279237604,187.979363395533,187.979363395533,69544
2013-05-23,190.5658416748047,193.52178012743565,187.51752441942452,193.52178012743565,18954
2013-05-24,198.1865997314453,209.687054295614,190.2886924444779,190.8429369925201,42778
2013-05-27,197.17050170898438,203.0362028436107,191.2124358739462,198.60228846810836,13399
2013-05-28,201.69679260253906,205.0222177753491,197.12431008550953,197.12431008550953,119357
2013-05-29,203.03619384765625,207.83959500203161,201.46585305997914,207.83959500203161,30433
2013-05-30,202.80528259277344,208.16292887653773,196.89339169188568,200.44976411253793,23229
2013-05-31,198.9255828857422,203.22092869515288,198.55608183110024,200.95778935368892,74660
