Price,Close,High,Low,Open,Volume
Ticker,RUPA.NS,RUPA.NS,RUPA.NS,RUPA.NS,RUPA.NS
Date,,,,,
2011-12-07,127.87892150878906,135.34726313951847,126.08827779977098,135.34726313951847,1177
2011-12-08,126.6560287475586,126.87440121091646,126.6560287475586,126.87440121091646,433
2011-12-09,126.6560287475586,126.87440121091646,125.78253889412716,125.78253889412716,1775
2011-12-12,126.43767547607422,126.87442046908312,126.43767547607422,126.87442046908312,642
2011-12-13,126.87440490722656,148.49327940949064,126.65603243750672,148.49327940949064,1466
2011-12-14,126.6560287475586,126.87440121091646,126.61235158920753,126.74338306426071,5230
2011-12-15,126.6560287475586,126.74338306426071,126.6560287475586,126.74338306426071,210
2011-12-16,126.6560287475586,126.87440121091646,122.28857948040141,126.87440121091646,5078
2011-12-19,122.33226013183594,126.65603236410335,101.63054601587349,126.65603236410335,11671
2011-12-20,126.6560287475586,129.2764983078529,122.28857948040141,122.28857948040141,5947
2011-12-21,124.03556060791016,124.03556060791016,124.03556060791016,124.03556060791016,1
2011-12-22,124.03556060791016,124.03556060791016,124.03556060791016,124.03556060791016,3002
2011-12-23,124.12293243408203,124.12293243408203,124.03557810405742,124.03557810405742,1026
2011-12-26,126.87440490722656,126.87440490722656,126.87440490722656,126.87440490722656,10
2011-12-27,126.21929168701172,126.21929168701173,126.21929168701173,126.21929168701173,5
2011-12-28,124.03556060791016,126.87440266407711,124.03556060791016,126.87440266407711,103
2011-12-29,126.21929168701172,126.21929168701173,124.03556691734025,124.03556691734025,362
2011-12-30,124.03556060791016,126.87440266407711,124.03556060791016,126.87440266407711,102
2012-01-02,124.82170867919922,124.90906300566765,124.03557305457906,124.90906300566765,848
2012-01-03,121.54609680175781,126.6560173144223,113.55367069568896,126.6560173144223,579
2012-01-04,118.8819808959961,126.69971284680067,116.17415687065906,123.99188882146363,3787
2012-01-05,124.47232055664062,125.82623267398918,118.79463575932017,124.82171121280837,3892
2012-01-06,123.5551528930664,124.03557503953316,123.51147572913322,124.03557503953316,3003
2012-01-09,122.07022094726562,124.03557334176543,118.09583899493067,122.37594776221407,163
2012-01-10,123.2931137084961,126.56870135567613,122.28860549472098,124.035585573217,6911
2012-01-11,123.24942779541016,125.65152497312907,123.24942779541016,123.24942779541016,3324
2012-01-12,121.37142944335938,123.11840939455102,120.67263479720286,122.41961474839451,947
2012-01-13,123.24942779541016,124.03556335857719,121.19672123945483,121.41509371015655,11385
2012-01-16,123.59881591796875,124.03556085054107,123.16207098539641,124.03556085054107,9081
2012-01-17,123.1620864868164,124.90906643698402,122.2885965117326,123.1620864868164,1351
2012-01-18,124.03556060791016,124.03556060791016,123.16207074447416,123.16207074447416,500
2012-01-19,123.7298355102539,124.90905217331917,123.16207242264338,123.24942674153627,575
2012-01-20,123.2931137084961,126.56870135567613,123.162095533969,126.56870135567613,651
2012-01-23,123.20573425292969,123.20573425292969,123.20573425292969,123.20573425292969,51
2012-01-24,123.64252471923828,126.65606285952612,123.16210250478056,126.65606285952612,1244
2012-01-25,124.90906524658203,125.60785988566931,123.1620853130634,125.60785988566931,407
2012-01-27,123.24942779541016,124.03556335857719,122.28858359296343,122.28858359296343,1922
2012-01-30,123.1620864868164,125.78255641206782,123.1620864868164,125.78255641206782,102
2012-01-31,125.78256225585938,125.78256225585938,125.78256225585938,125.78256225585938,50
2012-02-01,125.52051544189453,125.52051544189453,125.52051544189453,125.52051544189453,60
2012-02-02,124.03556060791016,125.43314972076676,124.03556060791016,125.43314972076676,300
2012-02-03,124.03556060791016,124.03556060791016,123.2494250621768,124.03556060791016,476
2012-02-06,123.1620864868164,124.47232144944212,123.1620864868164,124.47232144944212,821
2012-02-07,123.51146697998047,123.51146697998047,113.64104173663014,123.16207635006297,3024
2012-02-08,124.90906524658203,125.56418272165152,123.24943964109899,124.03557527982271,1290
2012-02-09,123.2931137084961,124.5596849281259,123.162095533969,124.035585573217,31
2012-02-10,122.28858184814453,125.69518701112662,117.92113249642507,125.69518701112662,2459
2012-02-13,121.109375,123.20575885564195,119.66812192857014,123.11840453017399,3191
2012-02-14,122.50695037841797,124.0355576023911,122.28857791785038,123.16206776012073,1372
2012-02-15,120.67262268066406,123.16207419251015,120.67262268066406,122.28858430462,995
2012-02-16,122.28858184814453,124.03556158883231,121.5024462961941,124.03556158883231,2492
2012-02-17,123.20573425292969,128.40299569887145,119.66809803228156,127.09276104888296,2619
2012-02-21,122.72533416748047,123.16207912893059,121.41509928313015,123.16207912893059,90
2012-02-22,121.41509246826172,123.11839505663332,121.4150924682617,123.11839505663332,13
2012-02-23,122.28858184814453,122.5069543157305,116.1741527557373,118.79462236676896,19577
2012-02-24,122.28858184814453,123.59881665366036,120.54160210745675,120.54160210745675,1699
2012-02-27,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,1185
2012-02-28,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,2502
2012-02-29,122.28858184814453,124.82169714078273,122.28858184814453,122.28858184814453,554
2012-03-01,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,136
2012-03-02,122.28858184814453,122.37593616653798,122.02653222136182,122.02653222136182,2101
2012-03-05,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,870
2012-03-06,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,1573
2012-03-07,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,2520
2012-03-09,122.28858184814453,123.16207171848842,122.28858184814453,123.16207171848842,1290
2012-03-12,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,70
2012-03-13,122.37592315673828,123.16205862511454,122.28856884763147,122.28856884763147,114
2012-03-14,122.28858184814453,123.16207171848842,122.28858184814453,122.28858184814453,3747
2012-03-15,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,94
2012-03-16,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,0
2012-03-19,120.54161834716797,122.28859832321388,120.54161834716797,122.28859832321388,2503
2012-03-20,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,3002
2012-03-21,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,175
2012-03-22,122.28858184814453,122.37593616653798,122.28858184814453,122.28858184814453,1800
2012-03-23,122.28858184814453,124.9090514591762,122.28858184814453,122.28858184814453,259
2012-03-26,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,2750
2012-03-27,122.28858184814453,126.65603119986397,122.28858184814453,122.28858184814453,466
2012-03-28,122.28858184814453,122.28858184814453,122.28858184814453,122.28858184814453,1265
2012-03-29,122.72533416748047,122.72533416748047,122.28858920603037,122.28858920603037,954
