Price,Close,High,Low,Open,Volume
Ticker,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS
Date,,,,,
2020-10-05,248.16815185546875,266.9742456268199,231.2516963370274,247.44831320109935,8546115
2020-10-06,239.574951171875,246.6834606629862,235.34582367889197,246.54849435152582,2721384
2020-10-07,238.94505310058594,242.94922727488992,236.2006376283652,236.56055691749685,820087
2020-10-08,243.71405029296875,245.96357996622842,238.04521904030696,240.29474871356663,738189
2020-10-09,247.3133087158203,248.34808691930135,242.94921546453392,243.7140610793087,556877
2020-10-12,242.45433044433594,249.15791270638115,238.45015645567085,247.4482755672056,440901
2020-10-13,242.76927185058594,244.74886927730347,236.6505611026868,239.66493685969974,369077
2020-10-14,235.57080078125,242.04945899488754,234.49104271903477,240.38480108970836,231803
2020-10-15,231.4766387939453,239.48496016399324,229.45206177825483,236.6505578340432,215948
2020-10-16,220.54391479492188,234.40101335539333,218.65430420483906,231.3416582124448,229542
2020-10-19,212.22068786621094,223.423345690729,210.82597637447412,222.25358722249675,309411
2020-10-20,202.1427459716797,213.12046257715474,201.37791406394774,212.22065064097092,297310
2020-10-21,215.0100555419922,219.3741488460895,199.93820588171178,199.93820588171178,1258703
2020-10-22,215.0100555419922,220.09400112811093,209.70117070590953,214.6051429239927,392632
2020-10-23,215.99986267089844,218.60931184991807,211.9957022147997,217.2595939166236,383393
2020-10-26,223.8282470703125,226.03278384318753,216.13485130942496,216.8547036942525,320284
2020-10-27,268.5939025878906,268.5939025878906,240.24982241529915,240.24982241529915,4709948
2020-10-28,284.2056579589844,302.24687962324083,250.91261017909585,275.25251655846637,7045991
2020-10-29,293.1137390136719,296.89296014001417,267.1991661647228,269.9435815935581,1977190
2020-10-30,317.9485778808594,341.0287503477328,294.23852602561647,295.09335841553457,4462984
2020-11-02,287.62872314453125,322.3189932271069,286.1719085783098,322.00031069911677,933339
2020-11-03,272.150146484375,299.46531731491973,269.9649383752171,284.533029484841,848752
2020-11-04,281.9835510253906,293.9111502777897,264.6384054051969,272.2866456834015,768906
2020-11-05,283.349365234375,291.3618037221637,277.5221069307902,286.991387780902,288705
2020-11-06,283.6679992675781,289.0400043606393,281.39173534218776,283.9866817744178,359419
2020-11-09,304.5641784667969,312.03033685619056,281.4828517611301,284.12331292298813,2120253
2020-11-10,298.5092468261719,314.943860707495,294.09328940018463,309.4808274678631,721991
2020-11-11,302.3333740234375,308.4792868368136,294.4119919580526,298.372696883958,505739
2020-11-12,307.79644775390625,312.75871504606476,297.3711739242284,303.1984049791545,517305
2020-11-13,320.6800537109375,331.51506378936205,305.2469741068496,305.2469741068496,915610
2020-11-14,320.3157958984375,323.2294243593434,315.58118438249085,319.5874026764212,149447
2020-11-17,318.22161865234375,324.5951560788571,314.1243445924423,316.9013747851416,632194
2020-11-18,319.7695617675781,323.18395759602,317.447755932383,319.0866826018897,204970
2020-11-19,326.7348937988281,336.2952012435438,315.8088281477245,315.8088281477245,547130
2020-11-20,327.5998840332031,331.4240184374355,322.00028048776755,325.50573239390985,259500
2020-11-23,324.4131164550781,331.33296419459515,323.9123495169863,327.78199810573454,178666
2020-11-24,323.0928955078125,327.7819934681978,321.863707475022,324.4131118652051,140872
2020-11-25,320.9532775878906,331.1964672981424,320.2703982738738,323.0929716624293,273223
2020-11-26,320.4069519042969,326.3252389844341,320.0427551797281,324.0945166799321,134142
2020-11-27,325.7789001464844,328.0551641994543,320.04272584757075,320.77111922995056,249363
2020-12-01,319.177734375,324.95945062650515,318.9045938032295,321.4995403807552,153972
2020-12-02,318.90460205078125,322.2734840506851,317.5388435837543,319.9972199389736,119345
2020-12-03,317.6754150390625,321.4995498753435,316.40071268911123,320.1793055711346,119037
2020-12-04,316.7193908691406,320.4979836992182,316.08202580971346,317.857522913527,126982
2020-12-07,346.76605224609375,371.48627293956673,318.72246398958526,320.49796096746934,1132733
2020-12-08,329.1932678222656,350.90883057120726,327.7819953457632,349.99832502858015,378460
2020-12-09,326.50732421875,344.1711278695863,325.27813606193047,333.0629480777433,478312
2020-12-10,328.4193420410156,335.7489001361996,322.0913177577779,328.05511761511974,291865
2020-12-11,323.1839599609375,334.3376530821321,322.50108079025216,330.5135186117241,217875
2020-12-14,324.185546875,331.33302225455276,322.77427413931514,330.37700237378937,164219
2020-12-15,326.4162292480469,332.19794486314214,321.49950499239026,321.5905611017664,184641
2020-12-16,328.1917724609375,331.1964299895709,325.05051685574387,326.87152815465555,213563
2020-12-17,325.642333984375,330.5135446767027,325.0505108803935,325.0505108803935,75165
2020-12-18,316.8559265136719,329.5119479062148,312.34891299610615,326.14309409502147,424373
2020-12-21,304.609619140625,318.63142677084033,288.3571173821534,316.8559298424981,498025
2020-12-22,296.7337341308594,310.3002603973041,286.8547439905238,304.60960107527,348717
2020-12-23,307.887451171875,310.4823975887728,296.8248141171259,296.8248141171259,137526
2020-12-24,307.4776916503906,313.2138646855876,305.0193159002089,308.2060848723006,231309
2020-12-28,306.7037658691406,312.1667985598669,304.5640725079886,308.11503819967646,146899
2020-12-29,306.7037658691406,311.2562931114125,305.0193252322158,307.7508415775789,223265
2020-12-30,302.6065368652344,313.21392137786836,300.01159038955706,312.2579016277677,351295
2020-12-31,307.79644775390625,309.1166921634323,301.7871322267062,304.1089106998126,164791
2021-01-01,306.521728515625,310.664545989596,304.7462591294328,307.75091672848293,125610
2021-01-04,314.1243896484375,324.7773148467359,306.79483167120947,311.39287321671196,644292
2021-01-05,322.6375732421875,325.68777169278115,308.9344511839735,314.0788285913771,843235
2021-01-06,321.3630065917969,328.692566559791,317.4933572624918,323.684785074808,344067
2021-01-07,328.92010498046875,336.8870279384732,320.7710698117125,323.3205018301272,372362
2021-01-08,331.4240417480469,342.16799682201207,329.603030529651,332.3345473572448,404986
2021-01-11,324.9139099121094,336.5228556330678,321.1353174504156,332.78977733414143,215776
2021-01-12,328.5103759765625,334.15552123737615,324.1399606553295,324.1399606553295,143789
2021-01-13,317.5843811035156,334.0190258703745,315.94548193714536,330.51357332329616,256008
2021-01-14,323.8213195800781,327.78202460129575,317.76646273847837,317.76646273847837,461488
2021-01-15,317.85748291015625,326.64385562974127,316.8559212798605,324.1399654472136,95157
2021-01-18,315.0349426269531,321.40848192865445,314.8073162233209,320.31586407664946,98225
2021-01-19,322.18243408203125,323.22951003613036,317.1746529406264,317.1746529406264,90823
2021-01-20,324.9139099121094,326.64386489363403,320.04269967975574,320.04269967975574,83613
2021-01-21,327.4632568359375,336.88699314748203,324.6862265205057,326.87143389174605,241273
2021-01-22,332.7898254394531,337.3423538312377,326.507341816076,329.46648527073603,249783
2021-01-25,333.47265625,336.7049398239969,319.58744667235493,335.79443427792177,87582
2021-01-27,334.155517578125,336.88703407058927,323.91233073138415,333.4271242947036,144752
2021-01-28,336.15863037109375,339.57302588087697,328.6014183042538,333.2450017548433,109703
2021-01-29,311.84820556640625,344.0801021318964,307.0680505905708,341.4396411311017,712678
2021-02-01,305.1558837890625,311.6659919385557,292.1356674900762,311.6659919385557,378960
2021-02-02,308.2060852050781,326.87144634748313,306.0663919070793,311.3928541806107,500237
2021-02-03,316.0820007324219,324.13998052465973,312.34892236572375,312.75866098376576,169887
2021-02-04,317.6754150390625,327.78203328943897,316.8559655131243,318.6769768091768,132227
2021-02-05,308.8434753417969,321.4994961782578,306.9769224032398,313.2138906078018,176012
2021-02-08,314.3065490722656,315.4446810897834,309.02559983912766,311.2108077554765,209225
2021-02-09,315.0804748535156,321.27193005906105,313.8968286013521,314.3065672659468,143812
2021-02-10,313.1684265136719,316.7649071258001,310.48242375663165,314.1244463226919,63633
2021-02-11,311.6660461425781,315.62675093757446,311.3018494711081,312.3034111574695,33296
