Price,Close,High,Low,Open,Volume
Ticker,ROHLTD.NS,ROHLTD.NS,ROHLTD.NS,ROHLTD.NS,ROHLTD.NS
Date,,,,,
2006-02-06,180.60951232910156,203.71254953007016,177.25333809058108,195.90747100401384,7786138
2006-02-07,171.16539001464844,183.3413064761378,165.77987819644622,181.07783826170876,2983060
2006-02-08,173.7410430908203,181.78026399785352,168.00430592938977,170.93121021387392,3286707
2006-02-10,171.32147216796875,176.90209850208123,169.4872739663377,176.00451924317517,792621
2006-02-13,169.214111328125,172.33614285849777,167.3018693976927,171.71173417050218,446561
2006-02-14,173.54592895507812,180.84367036424234,169.21410791221106,169.3702071036575,1763935
2006-02-15,171.8678436279297,175.92648247784877,170.38488332629194,175.92648247784877,371612
2006-02-16,174.20933532714844,175.614251722852,173.27272836654728,173.62395448807226,248496
2006-02-17,169.99459838867188,175.38009735507185,168.0823566924634,175.0288712328464,331133
2006-02-20,161.33094787597656,170.150687741759,160.0040870966082,167.80916451595496,234590
2006-02-21,161.79925537109375,165.31154016825383,161.29191819907558,161.56510066936252,141270
2006-02-22,149.46726989746094,162.30662307592215,145.17447624505343,162.30662307592215,572655
2006-02-23,148.25746154785156,150.0136041845559,144.0036962097553,150.0136041845559,236315
2006-02-24,151.30145263671875,153.7600476190701,147.55501254631284,148.6867465554967,198618
2006-02-27,148.2184295654297,152.66733364644026,146.73546947816226,151.41851637640147,90187
2006-02-28,148.9599151611328,150.63800213087364,147.55499876970137,149.0769865647506,102084
2006-03-01,153.40882873535156,157.42843962004756,148.29649965480434,148.76480915439848,188568
2006-03-02,148.53067016601562,158.44311907604384,146.9696542145275,151.73074572080233,187670
2006-03-03,151.0282745361328,153.7600521117218,148.4135683785128,149.77945716630725,132985
2006-03-06,149.0379638671875,152.00389592570747,147.5940315651319,151.41851506848394,65911
2006-03-07,146.77452087402344,149.6623978774826,145.95498515300778,149.07701692098658,54114
2006-03-08,142.40365600585938,148.99894500994415,139.9840887969929,148.06233796426665,118648
2006-03-09,140.6084747314453,144.00368840899486,138.61818937867886,143.574406739134,69148
2006-03-10,148.140380859375,149.46724171987614,141.2719099284469,142.44267161293678,113016
2006-03-13,156.33572387695312,157.66258483273344,146.3452210699877,150.63801422137402,198501
2006-03-14,154.34544372558594,158.83336433960423,152.19904691018587,157.70163021885995,121360
2006-03-16,153.76004028320312,155.32105592059605,152.97953246450666,153.76004028320312,68589
2006-03-17,153.91615295410156,154.5405616457022,149.46726037955543,149.8575143231052,87409
2006-03-20,154.93081665039062,157.66259427394914,152.78441994616608,152.78441994616608,89637
2006-03-21,151.49658203125,155.94547449953112,149.15505842588047,155.3210658228449,76431
2006-03-22,156.10157775878906,170.81415622639702,149.54531625676202,153.76005409240722,93602
2006-03-23,153.48687744140625,158.44310748876407,152.19904413945315,155.3210758141086,48463
2006-03-24,151.5746307373047,154.5405631184691,149.93557130453866,154.5405631184691,26444
2006-03-27,148.72576904296875,154.93080389513514,146.77449947250105,152.19902649648037,36177
2006-03-28,148.3355255126953,154.15030685781593,147.90624379522086,149.07700561945745,80691
2006-03-29,152.39414978027344,153.76003844667792,147.90622987637295,153.68198290189892,80648
2006-03-30,155.7893524169922,156.88205850843354,150.63799647824712,152.19901198579373,71750
2006-03-31,160.4333953857422,162.6188198080947,152.19903495862386,152.97954283020653,94876
2006-04-03,168.55068969726562,170.8922135511094,160.00413001265713,160.00413001265713,199169
2006-04-04,167.80918884277344,171.71172811818678,162.34563385719477,171.24341864129528,54825
2006-04-05,162.81394958496094,167.80919528542933,160.19924340620636,165.46767163028377,27791
2006-04-07,159.1845703125,164.68715292239668,157.66258241859776,163.90664508864126,47626
2006-04-10,156.9601287841797,160.00410454584429,153.36978801589464,160.00410454584429,28321
2006-04-12,156.25765991210938,159.14553640375456,153.13562869744342,158.05283024246307,74941
2006-04-13,157.50648498535156,158.44309201435294,154.54055280217676,156.10156848704725,40241
2006-04-17,160.00408935546875,160.62849793975218,156.17960612983782,156.21862198980298,26741
2006-04-18,156.4137725830078,160.35533971343975,156.1015741984529,159.30166123336318,17461
2006-04-19,156.17962646484375,160.0041101884327,154.9308091336775,160.0041101884327,13081
2006-04-20,155.59423828125,157.66257923509647,153.76004014511884,155.7503374629283,32884
2006-04-21,152.0819549560547,156.1015655039394,150.48191152771844,156.1015655039394,38326
2006-04-24,150.48191833496094,154.93081077115372,149.8575096627784,153.0575966642109,9151
2006-04-25,149.1160125732422,151.88681755227984,148.3745325700189,150.79409952314768,62708
2006-04-26,149.0379638671875,152.78440373533883,148.2964838299585,150.63800725885258,17418
2006-04-27,147.4379119873047,152.39414105696804,146.81351530323025,152.39414105696804,22755
2006-04-28,147.5159912109375,149.74044346129375,140.6865471733941,147.43793565809491,14999
2006-05-02,143.1061248779297,148.06234278111376,141.66218053289833,145.95497388238007,69901
2006-05-03,147.47694396972656,156.8820651848696,144.39394059303916,145.87690062447757,118966
2006-05-04,145.99398803710938,151.37948715469412,144.51101605443245,150.83313407038327,35220
2006-05-05,145.33053588867188,148.25743985491636,144.39392900139418,146.73545217438976,34702
2006-05-08,144.55006408691406,147.35989735663003,144.39396488517554,145.95498072177205,16332
2006-05-09,143.88661193847656,146.73546053068304,142.83292168678187,146.65740498996365,29174
2006-05-10,145.01837158203125,146.6574310418666,141.34998679904106,145.17447078159574,137291
2006-05-11,149.50628662109375,163.82859905658268,144.3939576311509,144.47201318290166,279715
2006-05-12,147.32083129882812,149.27210058755432,146.34519665446504,148.99891812329162,27175
2006-05-15,143.76953125,152.19901768851543,142.83292429229908,147.12571709889824,35961
2006-05-16,140.88168334960938,145.17447702508224,137.3693976151316,142.83295320209706,30647
2006-05-17,142.75489807128906,145.95498540278615,142.05244568613412,142.5207552159748,26887
2006-05-18,135.06686401367188,143.22316734716193,132.686313073665,142.83291348518054,64203
2006-05-19,131.71070861816406,139.1645614729946,128.78380398220486,138.93040672019677,47857
2006-05-22,117.93473815917969,133.46683924952208,105.36855730225427,133.11561310710212,39441
2006-05-23,116.29566192626953,120.97870871524682,110.87113511095826,120.97870871524682,98867
2006-05-24,126.32521057128906,132.64731752524963,116.41275054156829,118.6372028590171,28384
2006-05-25,123.67145538330078,125.66175260461131,118.63718258323551,123.74951092515751,6437
2006-05-26,121.52507019042969,126.83252596664724,120.19820922377646,125.66176418849358,18613
2006-05-29,117.1152114868164,127.53498469127219,112.08093796919347,124.88126262434692,19015
2006-05-30,116.76397705078125,120.78358764307409,115.12490583103992,120.27626231342315,54207
2006-05-31,110.676025390625,117.07618794996883,109.27110875330423,117.07618794996883,90087
2006-06-01,108.99791717529297,116.29567038260718,108.1003379059805,116.17859896821155,84461
2006-06-02,102.441650390625,108.88083984375,99.905,106.53931640625,49781
2006-06-05,98.3049545288086,107.71007585296269,96.78296670845923,107.71007585296269,26621
2006-06-06,94.94876861572266,97.56346837727327,93.66092964218234,93.66092964218234,25709
2006-06-07,88.62667846679688,94.44146020493137,85.93392251617118,93.66095226935343,31775
2006-06-08,79.1825180053711,85.77781282785932,75.70926049844577,81.95332321996707,47633
2006-06-09,77.62149810791016,81.17281096975783,75.8263337458832,75.8263337458832,109568
2006-06-12,90.69501495361328,93.15361601210336,78.05078944538239,78.05078944538239,140523
2006-06-13,89.40717315673828,107.71007915255178,86.05098714904953,89.75839929379316,417421
2006-06-14,83.8265380859375,99.6708426971163,79.61179481645873,92.8804272858685,292524
2006-06-15,92.49018096923828,94.83170453807975,85.97294156025664,90.53891132853705,91615
2006-06-16,96.04150390625,99.28060707679172,94.44146025553665,97.17323803152325,55681
2006-06-19,97.7195816040039,100.25623214676952,92.09992739887487,92.09992739887487,37583
2006-06-20,98.07080841064453,101.270889269829,93.66093805302104,96.58784236717796,22619
2006-06-21,100.37332153320312,106.85152762904669,98.42204581227749,106.85152762904669,36603
2006-06-22,106.61737060546875,109.11499319201947,102.24652214680206,104.19779165342042,45192
2006-06-23,108.64669799804688,109.85648763276215,100.68551974867721,100.68551974867721,36233
2006-06-26,105.0563735961914,111.92483394759032,103.41730215665855,111.92483394759032,35451
2006-06-27,100.9977035522461,105.36855195264162,99.55377128236104,102.63677467979535,13248
2006-06-28,100.68551635742188,101.34895281819266,98.46107009397423,99.20255019685594,4687
2006-06-29,101.27088928222656,106.92957095695598,99.90500060211946,104.47097609660486,6074
2006-06-30,102.90997314453125,106.14907622126435,101.54408429609586,105.36856830787269,10728
2006-07-03,110.01258087158203,112.39313223486648,99.1244985682503,99.1244985682503,14763
2006-07-04,105.2514877319336,111.22236798630387,103.92461486686946,111.22236798630387,13674
2006-07-05,104.15875244140625,107.71006493532481,103.0660464015556,106.14904950147952,35235
2006-07-06,104.23683166503906,105.36856572984597,102.36360557296749,103.0270420469605,6447
2006-07-07,101.89530944824219,105.36856724590845,101.50505549547957,105.17344026952713,7992
2006-07-10,101.19284057617188,103.8075467043721,99.90500735458367,103.8075467043721,4605
2006-07-11,104.90025329589844,106.77347933558536,100.7635710995004,100.9977139335569,14379
2006-07-12,105.4075927734375,106.92958077480752,100.76357321659866,100.76357321659866,13684
2006-07-13,105.60272216796875,106.149075320787,104.62708728450563,104.93928568337164,5837
2006-07-14,103.26118469238281,105.05635502074398,102.05139521612178,102.05139521612178,5577
2006-07-17,99.82695770263672,103.80754664623095,98.46106893097578,103.80754664623095,9991
2006-07-18,100.33428955078125,103.57339246294679,98.42204168724469,101.3099243929522,4474
2006-07-19,99.00741577148438,101.07576268534963,97.56347749551122,100.76356432120566,15596
2006-07-20,101.07576751708984,108.49059216120068,97.05615086116403,99.90500573117761,6841
2006-07-21,97.32933044433594,101.38796904634863,96.39272336842609,101.38796904634863,7264
2006-07-24,97.79763793945312,99.04644933342522,92.91946377956026,93.30971771235168,6061
2006-07-25,98.1098403930664,100.295264889307,96.97810632292915,100.295264889307,10768
2006-07-26,103.06605529785156,104.11973366088534,96.97809219844306,96.97809219844306,12154
2006-07-27,104.31486511230469,106.0710077028122,101.70017106775599,101.70017106775599,13335
2006-07-28,110.40283203125,112.35410163911799,103.88559868673363,103.88559868673363,58883
2006-07-31,109.46623229980469,113.01754560482101,107.90521650943313,110.83212111637978,13612
2006-08-01,108.21739959716797,109.81744293790636,105.40757871768938,105.40757871768938,8268
2006-08-02,111.49554443359375,112.23702446459747,108.17838627051047,109.27109243097868,14709
2006-08-03,112.58824920654297,115.51515343201636,111.6126144647185,111.6126144647185,21010
2006-08-04,123.74954986572266,126.36424460624482,114.65662421988709,115.08590601597501,75404
2006-08-07,121.9933853149414,124.8032065668678,117.07618323706369,123.74952806349737,40979
2006-08-08,123.59342956542969,128.0032943950765,121.75923125385324,121.75923125385324,25930
2006-08-09,124.95931243896484,129.09599454574797,123.78855065562516,125.66176474512677,26925
2006-08-10,124.68612670898438,126.83252325640038,123.32023799699238,124.92028144153247,11591
2006-08-11,127.33984375,129.56429576032917,124.6861219741722,124.6861219741722,27993
2006-08-14,128.47158813476562,129.95454818504777,127.22277089587259,129.17404038814055,15769
2006-08-16,130.96922302246094,134.79370682321158,130.3448143442799,131.90583008493,32530
2006-08-17,124.41293334960938,131.12530491254532,123.71048112284781,131.12530491254532,71712
2006-08-18,124.60807037353516,127.61303028475493,123.32023721707203,124.10074504755984,15204
2006-08-21,124.56905364990234,127.02764853512762,124.10074419100026,125.66175984120152,31309
2006-08-22,124.60807037353516,128.00328419999883,124.17880059445035,124.95930842493816,36196
2006-08-23,124.88126373291016,128.31549372172302,124.10075583457946,124.10075583457946,77300
2006-08-24,124.96182250976562,126.33148536310944,123.26987808906843,125.68693452218741,17529
2006-08-25,138.77935791015625,140.91442003741278,124.15616778517887,125.68696565448114,181373
2006-08-28,135.43572998046875,140.06842134936815,133.90492023882265,138.77931970311718,34754
2006-08-29,135.8788604736328,140.99496853513628,133.82437219572074,136.96654086270382,55628
2006-08-30,134.83145141601562,136.9262259990891,133.26035511148163,136.9262259990891,16327
2006-08-31,136.52340698242188,138.57790748824297,133.01868239605432,135.35516545363268,23337
2006-09-01,134.7106170654297,137.77222451337283,132.25327376008906,134.5494824194928,22343
