Price,Close,High,Low,Open,Volume
Ticker,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS
Date,,,,,
2015-08-11,153.55838012695312,157.48944129097762,145.86934122712213,145.86934122712213,36881400
2015-08-12,153.03921508789062,155.2643409938535,150.81408918192776,152.00081998042114,3625276
2015-08-13,156.40159606933594,161.69245617596496,152.39638216274395,153.97868460643136,4183528
2015-08-14,158.25587463378906,158.92341534562007,154.8193007456354,157.98392086864635,1331368
2015-08-17,171.63137817382812,173.0653451585503,154.4237290868605,157.9344862495255,6994858
2015-08-18,181.5207977294922,184.3887312448736,168.73868481419234,172.0763730852423,5721858
2015-08-19,175.1915740966797,181.07580802475633,173.85650760358146,179.79017670206477,2192628
2015-08-20,167.5519561767578,175.48823123323064,166.24160748791408,174.02954687776247,1280508
2015-08-21,170.2220916748047,172.44721705617468,160.70349976561081,163.17586130046638,1619888
2015-08-24,154.2506561279297,166.043809642296,151.30853959967433,163.62089813731438,1543924
2015-08-25,153.3853302001953,160.7035150011304,146.19074839762393,160.7035150011304,1778930
2015-08-26,157.53887939453125,161.6924437386044,152.05023379088945,154.7698314684501,918764
2015-08-27,159.39317321777344,161.8902526773402,157.4400012990316,160.20904961911015,598558
2015-08-28,161.7666473388672,166.6372036383036,159.49207121480495,161.69247949473373,719676
2015-08-31,162.1622314453125,164.6593110574408,158.08283409929484,161.6924766239734,400304
2015-09-01,158.40420532226562,164.16480463558526,156.08017946156636,161.19797081686986,449636
2015-09-02,158.62673950195312,162.18694680941942,157.2669404052278,160.2090572141826,338690
2015-09-03,165.994384765625,168.8870361298518,159.86291515334025,160.7035242392469,912786
2015-09-04,161.09909057617188,166.34050066628942,158.2311568935165,165.59879211835107,584568
2015-09-07,158.6761932373047,163.17589518310118,157.7366986769978,162.18695036380967,534438
2015-09-08,165.2773895263672,167.1316609122277,157.0196949186287,160.65406985293512,698484
2015-09-09,168.12060546875,171.38412612233967,165.6482436236213,167.1316607306985,998292
2015-09-10,163.0769805908203,165.6235253527975,162.23638662103,165.6235253527975,284286
2015-09-11,162.9286346435547,166.43939124569948,161.9644075527205,163.79396123119116,210824
2015-09-14,162.80503845214844,166.11800958349417,162.0633298487218,162.26111579161554,223216
2015-09-15,160.2090606689453,165.8707757934405,158.75036102496261,163.2253453847449,312908
2015-09-16,159.49205017089844,163.126424954911,159.02231049329862,162.1622129281965,179060
2015-09-18,160.5304412841797,163.2747718102152,159.49204635784457,161.1732643767196,218706
2015-09-21,159.22012329101562,161.9644392557986,158.75036844402345,159.68987813800783,213018
2015-09-22,158.25587463378906,161.14854099165734,157.14331181077043,160.8518545541659,309734
2015-09-23,159.61566162109375,161.29687961025465,155.80823374528904,157.2669180604637,209180
2015-09-24,158.9728546142578,160.7035077749107,158.23114611683513,160.55517211146537,113644
