Price,Close,High,Low,Open,Volume
Ticker,VRLLOG.NS,VRLLOG.NS,VRLLOG.NS,VRLLOG.NS,VRLLOG.NS
Date,,,,,
2015-04-30,252.843017578125,265.65280792323887,245.87929794836998,247.59873359835856,22868893
2015-05-04,243.30015563964844,256.7117595723863,241.02190854615458,253.9176765129204,2035400
2015-05-05,245.49246215820312,249.18926526627,240.0332738973845,243.30019177287525,1427091
2015-05-06,240.0762176513672,251.0376206059059,237.06720507561147,245.7073592628213,1432505
2015-05-07,236.50839233398438,243.98792209427603,234.7889565863531,237.92692157847873,836450
2015-05-08,241.5806884765625,243.30012398173375,238.09884207319215,238.09884207319215,486076
2015-05-11,240.6780242919922,245.01958897037326,239.73232940305078,242.8273189320832,423633
2015-05-12,225.0740966796875,241.23680613769596,224.42930836654494,240.7209702398812,399348
2015-05-13,232.03785705566406,234.61701076781262,226.96552666907354,227.05150370678015,635630
2015-05-14,234.0152130126953,235.47671763919942,229.1148106946056,233.58535408081048,206959
2015-05-15,230.01751708984375,236.8952603926865,228.25510586309372,236.20749655700564,182416
2015-05-18,239.56039428710938,241.58073665591078,230.5763577227718,231.2211461658036,379421
2015-05-19,248.37242126464844,253.44475009980079,236.68025609847507,240.46303470848724,1087895
2015-05-20,258.9900207519531,260.8384090137525,249.31819425084285,249.74805320644774,1585201
2015-05-21,251.4674530029297,260.92434867141594,250.00592226865263,259.63477198934964,547292
2015-05-22,249.5760498046875,253.9606155326164,247.59870949429964,252.28418167898405,307189
2015-05-25,255.5081787109375,260.4945321990214,248.32952876442175,249.66208105829497,902993
2015-05-26,275.2386779785156,282.5892816997449,257.8293906590629,262.2139571571896,3561776
2015-05-27,262.0420227050781,278.20473603279123,258.775104964253,271.5848972716599,1527300
2015-05-28,273.0034484863281,275.7975320690333,262.5578797244404,262.9017616873171,1229267
2015-05-29,265.9537353515625,275.96944355412234,264.0193700930056,271.7998065272647,627630
2015-06-01,263.5465393066406,268.532919389918,262.72982295815024,265.56688183018787,313712
2015-06-02,258.90399169921875,269.65046343035436,256.62574493951865,265.43785175904986,485338
2015-06-03,244.8046417236328,261.9989975953542,237.0671815813582,258.9899853178029,471672
2015-06-04,249.23220825195312,251.85436352877565,240.89296055493816,246.26619730681927,354331
2015-06-05,249.70504760742188,257.6574373243906,246.05124692665242,249.23218707153674,752667
2015-06-08,245.27752685546875,251.85439032882726,243.687069596876,250.17792978924365,256736
2015-06-09,249.146240234375,250.7367236178003,242.9562870140695,245.01960475417133,254115
2015-06-10,248.84535217285156,253.01496292363333,247.59875074567478,248.4584686302084,192384
2015-06-11,245.36351013183594,251.2955590405115,244.1599101880702,249.96300664500495,222135
2015-06-12,243.5150604248047,247.5987198670565,242.65534264748854,244.37477820212086,214550
2015-06-15,249.27520751953125,250.82268919476752,243.3001578136048,243.3001578136048,217439
2015-06-16,251.76832580566406,253.05790231526814,247.6846668585846,249.3611005791691,150693
2015-06-17,252.49916076660156,254.39052442748297,250.52179383087423,252.02630017399986,199630
2015-06-18,268.3179626464844,271.24099826799795,252.32720441095844,252.7570633622548,918950
2015-06-19,271.6708679199219,274.2070463270691,262.64382958713963,268.31797321504746,689812
2015-06-22,268.4469299316406,275.711557104939,267.0284005612093,269.951436344388,437924
2015-06-23,272.401611328125,278.03275286075706,266.9423976269393,269.77945609262275,524583
2015-06-24,267.2433166503906,278.978460834172,264.87909240603324,272.1007175778596,361574
2015-06-25,266.3406066894531,270.81115046151683,264.2772888856196,266.3406066894531,165047
2015-06-26,264.62115478515625,271.02606352970804,263.50353202809043,266.0826856857879,192517
2015-06-29,260.27960205078125,261.9560625007904,253.6167881254516,256.1959419029985,134383
2015-06-30,263.33154296875,266.4265321940726,260.49448481683174,260.49448481683174,168959
2015-07-01,263.5465393066406,269.82249637475525,262.4718918192762,263.07370490680466,199366
2015-07-02,269.8224182128906,273.39024159011507,263.93334644077146,264.7930641816209,273575
2015-07-03,275.15264892578125,279.06438033824304,267.84504822253723,268.919695384779,852938
2015-07-06,284.56658935546875,289.5529420580321,267.3722335031746,271.3269405965032,856472
2015-07-07,289.1661071777344,291.4443542572225,282.933152698782,286.71590603181033,561808
2015-07-08,277.344970703125,287.10277309216076,275.1096991502283,283.01911349539955,322673
2015-07-09,281.4716796875,283.4060452681454,278.1187845950171,278.1187845950171,153708
2015-07-10,282.159423828125,287.14577712795943,281.12775185881054,283.70690554558865,201039
2015-07-13,283.9218444824219,285.21142136879166,282.0734561925936,282.0734561925936,225623
2015-07-14,301.67498779296875,318.82636936523846,282.41731323376666,284.56660785502817,1574849
2015-07-15,299.8695373535156,310.3581042808779,294.5393031049981,303.05050348756083,628050
2015-07-16,306.1025085449219,312.0775576782675,300.3853904904033,301.24510828015065,389819
2015-07-17,299.310791015625,308.98261769366013,297.4624027200134,307.77901784325087,296994
2015-07-20,308.59576416015625,313.3242128164051,301.073232207033,302.4487599178252,450448
2015-07-21,304.5120849609375,316.37618126372405,302.276813215577,310.18620200526556,388656
2015-07-22,317.4937744140625,322.3941763897894,304.1251730610347,304.25412548428955,578500
2015-07-23,313.6250915527344,321.0186710259329,309.2835264844569,318.0956353002058,282283
2015-07-24,309.3264465332031,317.2358605982769,307.34910613518696,313.62503543019875,231020
2015-07-27,308.1228332519531,312.7223284154676,300.90120947192753,309.5843639068467,196662
2015-07-28,326.9076843261719,332.4528744760105,306.05952825803337,308.12284567314623,979550
2015-07-29,320.6318054199219,333.5705494865895,317.3218862150857,330.64751383632836,753473
2015-07-30,325.0163269042969,334.38727257978206,321.70643412816514,323.5977976807394,621775
2015-07-31,332.1949157714844,337.86905786848456,320.8036561868599,327.2085635799855,352405
2015-08-03,341.8667907714844,343.8871329247183,333.22663705135324,338.2559916176785,376533
2015-08-04,337.3533020019531,343.7152092766812,333.6565254905122,343.7152092766812,242321
2015-08-05,333.2696228027344,340.06138864171,331.12032815517836,338.728836454828,216829
2015-08-06,326.3918762207031,335.24698580988866,324.32855862980296,334.43024335849793,157013
2015-08-07,328.97100830078125,335.80577525090985,327.5954545844435,328.2402429293045,180446
2015-08-10,338.94378662109375,349.647285114258,336.5365869634104,337.86913923168004,501549
2015-08-11,336.70849609375,346.3803220610341,330.21763671697545,343.02742763967706,371834
2015-08-12,326.8217468261719,342.7265276057569,324.80140456092306,340.1903756017276,235462
2015-08-13,315.98931884765625,333.57056124281564,313.797048591824,329.70183050675206,224865
2015-08-14,323.08203125,325.31730341730247,303.2225653730569,314.2269458692207,515183
2015-08-17,329.0140380859375,331.8510965514899,318.9553285507843,324.9733536177802,150861
2015-08-18,333.0117492675781,336.88047999712825,329.7018299516611,330.47557085026926,139761
2015-08-19,331.4212341308594,338.8148129541021,329.27193948669037,329.27193948669037,141288
2015-08-20,320.4598388671875,334.4302543778295,317.6657557650591,327.12265241841675,126086
2015-08-21,318.3535461425781,320.6747951003751,309.49846175907516,313.797051505729,138078
2015-08-24,308.552734375,311.1318879522274,300.90125067652684,306.0595578309816,338975
2015-08-25,326.8217468261719,331.8511016713422,297.0325275322506,311.30384958717974,289862
2015-08-26,337.9551086425781,369.54974117825964,317.2359021950065,325.83308111628037,1029678
2015-08-27,356.1811218261719,358.5023706921635,343.8871661315717,343.9731431704063,566591
2015-08-28,388.8504333496094,411.8049139981834,358.5023990339091,362.8009889503829,2419967
2015-08-31,401.4882507324219,410.945147430616,379.13558580941765,385.1536109809957,1377132
2015-09-01,374.4071350097656,410.7731906711054,366.4547446565157,393.75078722037347,1111519
2015-09-02,349.561279296875,391.17161754194797,345.2196884591759,380.4681199299888,1112695
2015-09-03,347.6268615722656,363.23073277432366,344.7468019940918,355.6652274146902,807073
2015-09-04,333.3126525878906,349.7332440928328,329.3149432165998,347.32604437887005,512513
2015-09-07,343.93011474609375,349.4753053626874,331.85108947108813,337.0093965613123,682380
2015-09-08,354.0317687988281,357.5996185497308,337.35324923240256,347.1970282381985,587734
2015-09-09,358.24444580078125,369.24882400768803,355.9231970644537,361.42538616790705,449629
2015-09-10,345.0477600097656,349.4753016343385,339.58854648355157,348.6155837951396,397152
2015-09-11,352.14044189453125,362.97289221447693,348.27171151144404,349.8191931700761,630888
2015-09-14,351.8395690917969,357.25578165224084,349.1744382142333,353.25809845415034,170300
2015-09-15,346.33740234375,354.7626282685204,343.4573417898247,354.5476987680261,166719
2015-09-16,340.06134033203125,352.3553197114527,336.9663774684317,349.905118914017,185549
2015-09-18,336.0636901855469,347.3259988612704,335.2899493957808,344.5748913459848,230060
2015-09-21,345.1337585449219,349.0454644623973,332.3239409535241,333.57054239263584,201433
