Price,Close,High,Low,Open,Volume
Ticker,AHLUCONT.NS,AHLUCONT.NS,AHLUCONT.NS,AHLUCONT.NS,AHLUCONT.NS
Date,,,,,
2009-12-14,176.21873474121094,185.9619605184922,175.0812075094315,177.85085674859448,112757
2009-12-15,174.19094848632812,182.4009581170621,173.15232826395447,182.4009581170621,12652
2009-12-16,175.13064575195312,176.56492362547442,170.13538859149355,170.13538859149355,42817
2009-12-17,176.66384887695312,178.04866579579365,174.5866084053199,177.05950654137257,30827
2009-12-18,175.52630615234375,179.03782451369005,173.25123685531852,176.0703467593195,30110
2009-12-21,173.44908142089844,178.04866591981124,173.10286964426095,176.1198083910211,79122
2009-12-22,173.25125122070312,177.80139019203511,171.42131550979954,173.1028833580314,60357
2009-12-23,177.75192260742188,180.02699200862304,173.10287693136831,173.10287693136831,199484
2009-12-24,191.3528594970703,193.72685082260955,177.108971917326,180.76885823082128,376461
2009-12-29,190.26478576660156,198.8210071514416,187.00055725738108,192.2925501330006,264195
2009-12-30,191.30340576171875,194.61709550913469,188.9294294396174,190.80882610349985,107901
2009-12-31,190.26478576660156,196.5459378817805,188.1875453261779,192.68822288484768,104468
2010-01-04,195.11166381835938,200.2552889459737,191.89689622692887,192.7871335225914,105933
2010-01-05,201.09608459472656,203.0249421715921,195.35895775341993,196.7437747077406,304011
2010-01-06,197.08998107910156,204.26138566039884,194.36979313447154,202.57981794966568,230602
2010-01-07,193.47955322265625,199.81016631611496,190.06694177275753,199.81016631611496,170654
2010-01-08,192.5893096923828,196.84269763482496,182.99446765046542,187.94026407345098,49205
2010-01-11,193.7268524169922,199.5628861735664,188.43484419362775,196.7437761679661,56238
2010-01-12,194.7160186767578,201.78850179547536,190.95721023248115,201.78850179547536,220669
2010-01-13,193.7762908935547,198.82100910215226,190.66044529572065,193.38063323119783,106984
2010-01-14,193.13333129882812,199.61232699359627,191.89688231484075,193.87520068922055,33592
2010-01-15,191.8968963623047,198.82101117950126,189.0777864350971,197.83185191990174,53450
2010-01-18,192.63876342773438,196.84269022910985,190.16586530927822,193.67738365616043,85172
2010-01-19,195.45787048339844,196.89214835261254,193.13334024843718,193.43009103701957,61736
2010-01-20,194.567626953125,199.315594505936,192.8860591992929,192.8860591992929,44995
2010-01-21,192.63876342773438,197.5350986836031,189.9185754974326,197.5350986836031,55615
2010-01-22,185.76409912109375,189.869103727116,183.98360955830682,187.9402463230016,56494
2010-01-25,184.67604064941406,187.9402693997689,180.52157455504118,183.98363214924746,62773
2010-01-27,178.88946533203125,201.78849707556057,177.0595145908105,194.81492099618643,76829
2010-01-28,173.54798889160156,195.65570435724734,163.21127765856684,191.89689615613312,124550
2010-01-29,179.13674926757812,180.91722387324677,169.24515659887413,171.12455316857884,72610
2010-02-01,199.7606964111328,210.69090853453287,179.7302227124272,180.02697348960086,333114
2010-02-02,196.00192260742188,205.74514841338623,192.98499861163643,204.65706707192732,103534
2010-02-03,196.05136108398438,201.78848777468417,191.89689523670947,192.88605449050695,54444
2010-02-04,191.0561065673828,203.76680919790198,189.22617097769708,196.8426943222451,161074
2010-02-05,184.9727783203125,188.8304933281466,175.08118589676639,183.09338179718762,64853
2010-02-06,185.9619598388672,192.58932453785414,184.97280047802215,192.58932453785414,6500
2010-02-08,188.83050537109375,193.87522386618562,181.01615289546922,187.44568838082742,50129
2010-02-09,190.8582763671875,197.63402334153133,178.0486669575287,178.0486669575287,59182
2010-02-10,188.13807678222656,194.86436235950302,187.05001071847565,193.87520315970858,25078
2010-02-11,190.5615234375,192.88605371188967,188.13808629415328,188.13808629415328,53931
2010-02-15,193.4300994873047,197.83185524789582,190.01750300295302,192.39147922857867,52774
2010-02-16,190.31422424316406,198.72207745202246,188.92940739905367,195.85352180634882,18579
2010-02-17,190.26478576660156,194.76544823189911,188.97887573649987,191.40231285474601,25041
2010-02-18,190.26478576660156,191.8968924745257,187.94025551628806,189.9185739954069,160675
2010-02-19,188.43484497070312,191.8969024898499,187.1489348734883,190.75937534233657,42616
2010-02-22,184.13198852539062,191.20448622564496,183.09338338660004,188.7315880982915,71414
2010-02-23,185.9619598388672,187.8908175738402,182.20315124898121,185.9619598388672,79716
2010-02-24,184.28038024902344,186.95110733513647,183.09339211001463,186.90164635155838,68141
2010-02-25,184.7255096435547,188.4348572267586,182.05478240232267,186.95111819347704,172513
2010-02-26,187.84133911132812,193.6773878533822,183.98362400028412,183.98362400028412,379934
2010-03-02,197.2877960205078,201.5906445036846,188.03916671595726,194.76543708531355,73284
2010-03-03,197.2877960205078,203.5689628695826,194.96328099660042,199.81015495570207,71155
2010-03-04,197.63401794433594,200.74986349365292,178.14758405592562,193.87520983698528,61517
2010-03-05,201.64013671875,207.52563175037858,198.82102657327204,201.64013671875,151512
2010-03-08,200.84878540039062,207.52561022716523,198.32642633604578,203.7668021208251,63764
2010-03-09,196.49649047851562,205.20109540677805,194.96330562595728,197.93078354968037,70284
2010-03-10,198.6726531982422,201.0960904859862,197.83186174846193,198.42536337105662,45618
2010-03-11,196.00192260742188,199.7607312221105,194.86439537229367,198.87049382882532,29738
2010-03-12,201.09608459472656,204.16246930597177,196.84269667306614,196.84269667306614,46151
2010-03-15,202.67874145507812,203.76682275959044,199.01885493875048,200.601515910155,45245
2010-03-16,202.57981872558594,207.12994224891693,201.88741026479343,203.66788485158202,116391
2010-03-17,201.1455535888672,210.19635532184677,200.848802774444,202.7776604281345,66930
2010-03-18,203.42059326171875,205.69566255021016,201.83794752134773,203.37114737402928,359626
2010-03-19,205.74514770507812,207.6740054461384,197.83187279334436,201.8379712360844,129402
2010-03-22,198.8209991455078,207.62450998574633,196.89214172471077,205.74511354361007,309402
2010-03-23,199.26612854003906,202.9260147582335,195.8535321351466,199.06829970807198,35141
2010-03-25,205.9429473876953,209.65229447714722,198.82100399462206,199.31558360654896,108314
2010-03-26,202.57981872558594,207.2783251933976,199.81016978904353,206.73428458371333,41499
2010-03-29,204.06356811523438,207.72345453357997,200.79933938246063,200.79933938246063,94684
2010-03-30,199.3155975341797,206.73429223148167,198.12860940128598,202.87657702623383,23300
2010-03-31,208.5147705078125,216.62587324535693,201.29390504762617,201.541194857267,402332
2010-04-01,219.2471466064453,223.5499954770924,210.69092494079948,212.66924348484454,589209
2010-04-05,221.02761840820312,228.49577332561506,216.6258630229857,219.54387962037447,290535
2010-04-06,223.20379638671875,229.93008283762774,219.79119972286284,221.57168953242308,160459
2010-04-07,217.41720581054688,228.99036599780922,216.62587539317587,223.54999013177056,136090
2010-04-08,223.0059356689453,232.45240892255757,217.7633889596772,218.60418030589457,778185
2010-04-09,224.88536071777344,232.35350095377368,223.54998969771694,226.41854547507324,130404
2010-04-12,221.42332458496094,227.40772652506226,219.09879409558155,227.35828063269676,247064
2010-04-13,219.3460693359375,223.5499962566939,216.77424918236093,223.4510742917976,138399
2010-04-15,219.74172973632812,224.04457867539008,218.10962294888967,220.0879415243898,314946
2010-04-16,220.97817993164062,224.53915942238447,216.62588508150748,222.41247298062297,84278
2010-04-19,220.0879364013672,223.45107186408399,213.21328253020124,213.21328253020124,42107
2010-04-20,228.00120544433594,230.57302551272724,220.58251112402132,222.56082960943854,236445
2010-04-21,233.44158935546875,237.39822646318856,228.99037260928395,235.41990790932866,159261
2010-04-22,233.3921356201172,237.3982338347533,231.36435602077069,233.44159660417407,127169
2010-04-23,236.013427734375,241.8494618814867,231.36436669917285,234.1834768934232,263000
2010-04-26,238.14010620117188,243.33319262923482,235.41991807218653,236.01341970131452,63918
2010-04-27,227.90228271484375,239.37653592895234,226.51746581706647,237.39821745020066,147110
2010-04-28,229.3365936279297,235.41991738864834,224.09404623043216,235.41991738864834,139373
2010-04-29,228.05068969726562,238.38740181973716,226.51748969593282,229.4849677268839,100104
2010-04-30,227.85284423828125,233.3921271029228,226.61639514884706,229.4849509989853,33890
2010-05-03,229.38604736328125,231.31492017162083,220.8298250180717,228.49580998510442,24344
2010-05-04,226.07237243652344,232.40298623848358,224.53917242551583,229.5838911473153,59035
2010-05-05,223.15432739257812,224.53914427144088,218.6041889162486,224.53914427144088,15478
2010-05-06,221.22547912597656,226.96260628481355,219.5933722613833,220.58253159589404,187286
