Price,Close,High,Low,Open,Volume
Ticker,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS
Date,,,,,
2015-12-23,1268.2445068359375,1297.6168927756846,1244.8383867902014,1266.6841436515924,10984341
2015-12-24,1398.6302490234375,1417.1715207135314,1271.2734338949701,1274.0270947626127,5450848
2015-12-28,1347.8251953125,1414.0048207963118,1316.341628680551,1406.8452578976326,2046162
2015-12-29,1345.20947265625,1370.405428515884,1316.2500900815658,1349.156319924252,1333944
2015-12-30,1338.508544921875,1367.5596871301443,1325.4286568607492,1356.6368108311547,622721
2015-12-31,1363.2916259765625,1373.7096207056297,1324.0519579001457,1340.1149799197315,774495
2016-01-01,1379.676025390625,1394.2704521376922,1358.4728565923533,1372.2411625713298,508347
2016-01-04,1404.5048828125,1450.2615295474131,1363.0622603657648,1376.7387997309752,1350429
2016-01-05,1438.9715576171875,1458.4308313079887,1407.671630008639,1411.7103556461084,658233
2016-01-06,1401.6134033203125,1452.0971866750062,1393.3524205895444,1428.2321254527874,594918
2016-01-07,1346.8612060546875,1390.5067692660368,1338.691990928314,1380.5017804953875,349010
2016-01-08,1355.90283203125,1380.4104857823918,1349.2940894729475,1358.4729608299062,190247
2016-01-11,1354.526123046875,1362.8789863697205,1330.7069945538624,1343.2361774913509,187799
2016-01-12,1353.24072265625,1369.4872762216842,1344.7043295340263,1359.3905201637497,143904
2016-01-13,1299.49853515625,1366.4125206331557,1251.997882361381,1356.6370015616724,353619
2016-01-14,1317.90234375,1342.8688280655265,1257.5053277168636,1282.2882794309915,395952
2016-01-15,1314.0928955078125,1349.2938381970037,1305.23526388853,1325.6123096874996,257237
2016-01-18,1234.19091796875,1304.363450905497,1222.8550351916751,1304.3175117338114,635080
2016-01-19,1221.156982421875,1262.0947234044036,1175.8133386771208,1243.7369819730668,467691
2016-01-20,1214.1807861328125,1245.664238278126,1194.1708077182245,1211.6106580999665,332152
2016-01-21,1256.2200927734375,1262.0945918283887,1228.1327737210065,1229.0506606968818,197466
2016-01-22,1254.5679931640625,1284.8582640854825,1207.4803453675174,1271.2734917020234,166387
2016-01-25,1245.4351806640625,1264.6649840489515,1239.1476759767943,1260.9934353793908,120355
2016-01-27,1229.509521484375,1252.6402269018902,1221.753421878628,1252.6402269018902,90193
2016-01-28,1239.2391357421875,1250.1620127415695,1220.789630650725,1224.4611784120805,116177
2016-01-29,1247.2249755859375,1258.4231528421233,1232.722315293196,1232.722315293196,136274
2016-02-01,1260.6719970703125,1270.7229280784036,1232.3552023459686,1249.2443474541878,145523
2016-02-02,1259.983154296875,1313.4042328081678,1256.4034854462038,1269.2539005315232,141659
2016-02-03,1260.5341796875,1273.6598957031895,1244.1957473346397,1249.2441255053077,78557
2016-02-04,1236.8526611328125,1279.5344041700487,1229.050622082995,1266.867519482235,127453
2016-02-05,1228.1787109375,1239.606358950293,1220.7896759747423,1234.5579805909988,31085
2016-02-08,1214.685791015625,1243.5074664582212,1208.122876275455,1234.5580678252868,38022
2016-02-09,1228.5001220703125,1234.0074446928213,1193.2532348769032,1202.432105914418,42425
2016-02-10,1212.4368896484375,1229.968507911559,1184.0741606014262,1228.0409677338828,50038
2016-02-11,1171.0404052734375,1218.9540670041413,1149.745357356752,1211.6109702149597,123980
2016-02-12,1211.3812255859375,1275.6333080189859,1151.9480493353676,1171.2696132285732,518016
2016-02-15,1206.975341796875,1247.8672482633328,1185.9558212943414,1247.8672482633328,130223
2016-02-16,1202.0645751953125,1223.5431495166545,1185.3131404776238,1211.610620676657,85016
2016-02-17,1209.683349609375,1218.2655710040453,1180.4027306921848,1204.2677936766302,143402
2016-02-18,1201.1470947265625,1224.6909223892685,1195.2725945931752,1207.48053843214,46411
2016-02-19,1202.753173828125,1214.3644664571905,1188.663631188255,1197.8425009271607,75666
2016-02-22,1176.3641357421875,1208.8114237188017,1165.7166673318177,1202.432152917072,71363
2016-02-23,1202.4320068359375,1211.6108771171278,1176.7311700486043,1181.4123714826603,124252
2016-02-24,1174.0693359375,1200.504528532289,1166.6344730348287,1197.842633603817,50434
2016-02-25,1167.6898193359375,1179.4846433601917,1156.5374713103827,1177.0063935975077,30759
2016-02-26,1174.4825439453125,1183.9826535088866,1126.2475295442487,1176.731322637104,41075
2016-02-29,1160.8056640625,1174.8952052473294,1149.699255234744,1174.7116726902048,20747
2016-03-01,1207.2049560546875,1212.9417498924754,1157.5932301735502,1163.1005522578266,61308
2016-03-02,1194.2626953125,1218.1277561539173,1189.9944985603586,1215.2823290014055,37130
2016-03-03,1199.8160400390625,1220.697969734259,1187.7917424920588,1204.3595359672274,127326
2016-03-04,1203.6251220703125,1236.3936391809104,1195.868910632114,1202.4318242962083,55849
2016-03-08,1232.3551025390625,1265.7662127989443,1216.200313240465,1234.5580538176796,119691
2016-03-09,1235.2462158203125,1243.736669096432,1217.1179507172465,1234.5578006898163,40059
2016-03-10,1237.4954833984375,1247.4087100186212,1230.8867403495003,1246.490822814781,30565
2016-03-11,1254.93505859375,1259.3409610019623,1229.8768107814565,1230.8864640697022,54502
2016-03-14,1242.819091796875,1254.6139182276925,1210.050568242501,1239.1475435197792,93659
2016-03-15,1244.8382568359375,1257.3216091945449,1234.603906815875,1242.8189503320884,30214
2016-03-16,1244.8841552734375,1252.9156659526209,1233.6400403225807,1252.9156659526209,22480
2016-03-17,1239.9276123046875,1275.5874992921174,1226.847722757606,1252.9157355625432,46550
2016-03-18,1271.176513671875,1280.4680417167174,1226.1984305066685,1252.7322718600376,105456
2016-03-21,1248.3870849609375,1283.2416583481427,1243.487053658683,1282.1784312326943,27507
2016-03-22,1259.6661376953125,1266.6000797376719,1239.6964071847428,1250.8831444416571,67466
2016-03-23,1253.471923828125,1263.7802945597798,1247.185104253157,1249.9586812085015,61753
2016-03-28,1282.594482421875,1287.8642334964868,1250.4209445829135,1257.3548869743158,92882
2016-03-29,1303.905029296875,1310.9776747256067,1244.27311108827,1289.2513169286733,226373
2016-03-30,1267.6171875,1313.751043331267,1262.07003320022,1310.977466181377,68085
2016-03-31,1254.0731201171875,1276.7702762535548,1248.1099731660386,1273.0721726293593,57439
2016-04-01,1227.354248046875,1234.241919985582,1174.1477441061343,1185.242053499263,288351
2016-04-04,1252.87109375,1266.1842871327576,1200.0344245211118,1233.3173515494323,168161
2016-04-05,1232.762451171875,1262.763261592309,1225.0426850236263,1249.0340790754515,28090
2016-04-06,1214.27197265625,1251.807690280837,1210.2040373542213,1231.4681266278249,40140
2016-04-07,1236.8304443359375,1240.6209768823846,1217.692695904587,1228.602143581809,74984
2016-04-08,1239.6968994140625,1254.0732105758134,1229.7119737656365,1235.6289625625861,20874
2016-04-11,1229.2032470703125,1249.9588048632377,1224.4419169211867,1249.9588048632377,21031
2016-04-12,1233.2247314453125,1241.5916204858952,1227.9548677638847,1232.3926358264418,9640
2016-04-13,1237.9398193359375,1248.1096012722298,1234.2417168136494,1234.426576796911,14050
2016-04-18,1180.4344482421875,1189.8645651541665,1143.0835877280801,1170.4495256295063,319467
2016-04-20,1177.013671875,1199.0174291597355,1160.2797789099584,1184.3174476363797,66906
2016-04-21,1148.3070068359375,1196.7058969046104,1118.1212249961425,1195.4115385605758,294279
2016-04-22,1140.679931640625,1160.2335612442134,1110.5865729092566,1150.479882157926,32915
2016-04-25,1134.11572265625,1153.7618953681854,1128.845970883438,1141.003507391901,34850
2016-04-26,1129.5855712890625,1137.166637059938,1114.0997654591813,1133.4685341751901,42982
2016-04-27,1120.016845703125,1137.166846127012,1103.8839140452458,1135.3177943446917,177077
2016-04-28,1102.1268310546875,1127.736255236908,1100.1853500671689,1127.736255236908,74937
2016-04-29,1101.06396484375,1117.7054293718654,1091.8649782057923,1102.9592878912026,42594
2016-05-02,1155.0101318359375,1185.9817462633914,1065.5159888847916,1065.5159888847916,174739
2016-05-03,1135.7799072265625,1164.7176089393786,1129.0308239699427,1164.7176089393786,29703
2016-05-04,1132.9600830078125,1151.959133114969,1123.2988336554474,1123.2988336554474,24464
2016-05-05,1148.7694091796875,1155.6570802350336,1123.2986819884527,1123.2986819884527,42144
2016-05-06,1151.21923828125,1162.775808344534,1141.789122252462,1146.8740130803071,27750
2016-05-09,1153.576904296875,1158.4306640625,1139.3854578392845,1147.3363560267856,30809
2016-05-10,1134.624267578125,1154.17801046675,1132.5440845656574,1153.8081775819921,18824
2016-05-11,1113.5909423828125,1151.9587498621706,1109.430577716376,1136.2418166778552,54988
2016-05-12,1106.5184326171875,1127.7363626755998,1101.1099804734413,1123.1137347139145,42346
2016-05-13,1096.9036865234375,1116.8272644046474,1092.7895914952758,1092.7895914952758,27977
2016-05-16,1104.4844970703125,1118.6759420279193,1100.2317020108878,1104.8080584490608,24827
2016-05-17,1102.7281494140625,1115.3479491722483,1094.6385486533222,1103.883806665597,26891
2016-05-18,1128.6611328125,1133.376191783595,1100.1856932559556,1100.1856932559556,43608
2016-05-19,1134.4393310546875,1141.789265393513,1118.676122369353,1127.921379579017,25302
2016-05-20,1140.0787353515625,1146.4117129687145,1127.967472890818,1127.967472890818,42457
2016-05-23,1158.15380859375,1163.0538421016013,1142.7142677564223,1149.1859505026155,94824
2016-05-24,1133.28369140625,1157.3213605226215,1124.361995489706,1155.6571690563221,41053
2016-05-25,1141.5118408203125,1153.808077818122,1128.0137881223943,1137.6288780089735,34310
2016-05-26,1163.7005615234375,1169.5713905493915,1132.7752191291665,1139.0157681837445,66294
2016-05-27,1154.6402587890625,1169.5251011412486,1147.428912627308,1169.5251011412486,92226
2016-05-30,1180.4344482421875,1193.6550979185054,1110.3553556722252,1127.9213438135844,85318
2016-05-31,1168.0455322265625,1178.7700053904564,1151.0342405577396,1172.2983269294891,22541
2016-06-01,1190.835205078125,1194.4870359352317,1163.053166568515,1168.600319986171,69058
2016-06-02,1207.3843994140625,1214.5033156471236,1181.6363789663035,1181.6363789663035,72275
2016-06-03,1256.3841552734375,1261.9775809030805,1211.1286673868392,1211.1286673868392,183594
2016-06-06,1262.0701904296875,1281.3928028859063,1237.4778258750257,1261.977760417938,72141
2016-06-07,1257.5860595703125,1316.293440406714,1230.636113355088,1270.298287704179,385335
2016-06-08,1296.600830078125,1305.892357124765,1243.9028730118512,1261.0528673403041,88297
2016-06-09,1276.63134765625,1303.3501641586492,1257.447438518962,1264.3352230078422,117004
2016-06-10,1284.9984130859375,1294.3361009571265,1263.9191800132037,1273.0720078699737,97552
2016-06-13,1284.8131103515625,1286.0150387081576,1266.6000021784153,1277.3707473961017,74249
2016-06-14,1264.4737548828125,1283.426531734846,1250.2361493869978,1271.3615390628363,32167
