Price,Close,High,Low,Open,Volume
Ticker,ASIANTILES.NS,ASIANTILES.NS,ASIANTILES.NS,ASIANTILES.NS,ASIANTILES.NS
Date,,,,,
2007-08-23,51.32152557373047,58.06100257825386,47.8248937795371,54.705362574344754,22268380
2007-08-24,59.66831970214844,62.09340421523737,51.6035094619524,51.6035094619524,13873908
2007-08-27,62.48818588256836,65.53363848139914,60.62707520475417,60.852664790353366,5456640
2007-08-28,58.25839614868164,62.713780620140604,57.24324293008984,60.90907059384744,1911275
2007-08-29,61.19104766845703,63.10855229227805,54.78995524585033,54.78995524585033,4470114
2007-08-30,59.49912643432617,62.88296336364492,58.79416409437883,61.50123227648217,987435
2007-08-31,58.65317153930664,61.19105105202662,58.65317153930664,59.781119502017425,707187
2007-09-03,59.32994079589844,60.627077560108226,58.73777321576369,59.499129588291616,491155
2007-09-04,59.07615280151367,61.388442818677795,58.45578479938141,59.781122009466664,1272933
2007-09-05,61.050048828125,65.5900337504138,58.991549138180474,59.44272827133398,3230020
2007-09-06,65.87203216552734,66.74619023152678,60.796279386011534,60.796279386011534,2657355
2007-09-07,62.995758056640625,67.22555931676374,62.12160012787306,66.37959498068416,1050342
2007-09-10,62.318992614746094,63.02395491397369,60.627070844435686,61.83961307813534,515327
2007-09-11,60.90906524658203,63.10855348363069,58.70957020277504,62.88296389930391,330785
2007-09-12,61.13465881347656,62.60098440036493,59.95031001522834,61.416642408875475,448210
2007-09-13,60.345096588134766,61.72682780847678,59.922117782045554,60.65528059214959,217021
2007-09-14,58.56857681274414,60.90906712045016,58.089197229612026,60.62707672798708,157604
2007-09-17,59.01975631713867,60.006709082624674,57.017653788794156,59.21714550888416,159143
2007-09-18,60.0630989074707,62.8829618111584,58.455778277585175,59.13254700809216,535172
2007-09-19,59.21714401245117,61.7550234605335,58.37118646534319,61.7550234605335,232047
2007-09-20,58.371192932128906,60.45789343779795,57.44063408180933,59.78112460243083,243993
2007-09-21,61.36023712158203,61.81141628665548,58.08919498155779,58.79416412867462,625111
2007-09-24,59.49912643432617,62.48818499781507,58.82236449386904,60.40148476394671,69289
2007-09-25,57.97640609741211,59.55553333606391,57.80721729665032,59.21714892778138,91223
2007-09-26,60.0630989074707,61.755020733738185,58.25838909954349,59.047952618468315,687201
2007-09-27,60.90906524658203,63.86991662904401,59.273544163592,60.14770210116871,987676
2007-09-28,59.7811279296875,62.03701736637548,59.21715386882562,62.03701736637548,110419
2007-10-01,58.822364807128906,60.88086465246964,58.45578003207874,60.88086465246964,83096
2007-10-03,59.21714401245117,60.96545990674547,57.52522891823522,60.23229715303579,198752
2007-10-04,58.371192932128906,59.499134184314954,57.58162929086726,58.9351669616015,79255
2007-10-05,58.65317153930664,59.16075152590577,58.089197557951245,58.37118795200823,52944
2007-10-08,56.53827667236328,58.68137449130828,56.19989567221781,58.68137449130828,79097
2007-10-09,59.7811279296875,62.60099142723736,56.28449555910339,56.6792774017067,271073
2007-10-10,58.65317153930664,60.26049908785915,58.089197557951245,59.86571389753109,69126
2007-10-11,58.14560317993164,59.104355624340315,57.948213971782664,58.65317640185173,15819
2007-10-12,57.525230407714844,58.93516195832111,56.73566683348294,58.03280358777036,57190
2007-10-15,57.32783126831055,58.935158729484264,57.074048095565914,58.37118477878807,32524
2007-10-16,56.51007843017578,58.371189205227004,56.11529663475112,57.24324121829938,44041
2007-10-17,56.39727783203125,57.5252257029696,47.93768581688866,53.57741496144339,58930
2007-10-18,55.26934051513672,58.08920034717483,54.846358307120525,58.08920034717483,57899
2007-10-19,53.69021224975586,55.26933593925578,52.73145651479355,54.28238320789593,50669
2007-10-22,53.60560989379883,54.70535732395625,53.01343898603226,54.70535732395625,24015
2007-10-23,55.04374694824219,58.65317013218693,50.193581035081635,55.8333070998185,12497
2007-10-24,54.28238296508789,55.83330624787374,50.757550825032574,50.757550825032574,12971
2007-10-25,55.21294403076172,55.7769146451788,54.14139339694821,54.282388603087114,19299
2007-10-26,56.51007843017578,59.499130385395915,54.423378057739036,56.11529663475112,96498
2007-10-29,60.2886962890625,60.34509709395191,56.73567020407606,58.371191444484225,124070
2007-10-30,57.07404708862305,59.21714125670034,56.425475355075456,59.21714125670034,34170
2007-10-31,57.27143859863281,58.51218131880487,56.98945161677553,58.42758011917891,31322
2007-11-01,55.15654373168945,59.217146236388814,54.761761939969155,59.217146236388814,53387
2007-11-02,53.633819580078125,55.269340809883104,52.449474156048005,52.449474156048005,21033
2007-11-05,53.60560989379883,57.835407440298226,52.75965242652627,52.75965242652627,107017
2007-11-06,53.35182571411133,54.677159365514925,53.01344135075674,54.141385825226344,22917
2007-11-07,53.521026611328125,55.269342703316,52.872454774260085,53.57742401440449,8398
2007-11-08,52.44947052001953,53.29543147853816,52.195683934153564,53.069841889599864,10282
2007-11-12,53.521026611328125,54.11319764194022,50.193586636581486,50.193586636581486,77686
2007-11-13,53.718406677246094,55.83330382757379,52.449467025697864,52.449467025697864,17243
2007-11-14,53.577423095703125,54.14139371341673,53.0698464767193,53.577423095703125,11706
2007-11-15,54.00040054321289,54.14139234322825,53.04164473161836,53.88760574184883,24216
2007-11-16,52.9006462097168,54.14138546368597,51.63170655730021,54.08498807017014,32982
2007-11-19,54.56437683105469,55.72051848829877,53.01344994915326,54.113197606737245,62679
2007-11-20,53.577423095703125,54.70536773450987,52.61866725984479,52.61866725984479,21672
2007-11-21,52.16748046875,54.08498845868328,51.37792035723572,54.08498845868328,12655
2007-11-22,51.85729217529297,52.44946306034432,50.78574518361707,50.78574518361707,10440
2007-11-23,51.885498046875,52.64686117991042,51.32152409522688,51.40611848628455,11390
2007-11-26,52.195682525634766,54.42337455121659,51.49071678091594,51.49071678091594,14091
2007-11-27,51.46251678466797,52.44946951568463,51.32152499597095,51.32152499597095,5378
2007-11-28,51.406124114990234,53.52102496355189,51.321529714669914,53.013448351491554,10091
2007-11-29,50.8703498840332,52.02649489572521,50.5601658821327,50.983144685338736,17581
2007-11-30,51.377925872802734,52.64686567055891,49.43222067872149,51.0395414729505,19774
2007-12-03,52.11109161376953,53.013446602053016,50.22178043291511,50.757554026275244,14137
2007-12-04,53.09803771972656,55.60771673644746,52.78785374344214,53.57741728737596,116008
2007-12-05,51.800899505615234,54.50796762773972,51.321523355315136,53.2954287542463,31570
2007-12-06,53.23904037475586,54.705369472812144,52.449476720136516,53.492826990622255,65986
2007-12-07,50.75754928588867,53.57741559310069,49.68600219924311,52.73145467992337,68678
2007-12-10,50.7857551574707,52.336678560358195,50.475567754189676,51.039541757082986,62550
2007-12-11,52.026493072509766,53.01344584765671,51.29332688971685,52.449471860892935,27038
2007-12-12,52.08289337158203,54.70536745100514,51.631714157045714,51.941901568729186,89558
2007-12-13,52.47767639160156,54.39518469411557,52.19568937602898,52.19568937602898,43661
2007-12-14,52.87245178222656,54.14139157794623,52.53407078629679,53.01344698362841,68442
2007-12-17,51.18053436279297,54.70536319359141,50.193581609493556,53.01344467413231,119742
2007-12-18,49.06563949584961,51.265134853725506,48.50166885788168,50.757558216512685,182082
2007-12-19,49.65781021118164,50.757554404138716,48.78365221444029,50.13718640863156,37212
2007-12-20,49.93979263305664,51.829103783552426,49.629608642596445,50.19358262832345,68593
2007-12-24,51.18053436279297,51.32152615467321,50.024389417209726,51.29332575426962,13603
2007-12-26,52.75966262817383,53.01344923675219,49.770603710617664,50.7575565488595,38039
2007-12-27,58.7377815246582,61.9242230839583,51.7163163186891,52.95705585981987,598803
2007-12-28,59.273536682128906,61.360229863633265,58.08918811052175,58.08918811052175,188202
2007-12-31,61.92421340942383,65.25165647374249,58.173798370371394,61.33204583803801,765578
2008-01-01,64.18011474609375,67.39475647993352,61.783230243810735,61.783230243810735,655336
2008-01-02,71.45536804199219,73.3164790622759,64.68769284218949,64.68769284218949,951006
2008-01-03,71.08879089355469,76.13635083824428,70.13003827790267,71.62456461426494,436543
2008-01-04,68.49449157714844,75.00837506013733,67.67673449543057,71.08876481122978,175289
2008-01-07,69.0302734375,72.69609416254426,67.25375707060134,67.95872625982607,108183
2008-01-08,63.53153610229492,70.13002163355607,62.60098411562818,69.59424804000393,137434
2008-01-09,60.31689453125,64.23650528735931,58.93516334881309,61.47303611572675,88530
2008-01-10,55.24113845825195,66.54879486668716,53.041643294620634,60.90906856479259,236664
2008-01-11,56.51007843017578,58.34298880386414,53.38002787152067,55.41033084461103,84861
2008-01-14,59.4145393371582,62.03701344952011,56.96125743237251,56.96125743237251,102060
2008-01-15,57.89180374145508,62.03700366482794,57.32782980515298,62.03700366482794,42147
2008-01-16,56.70745849609375,59.10434247733898,54.19777973431613,57.948201081950124,44509
2008-01-17,58.427581787109375,62.60098243097677,57.581624220767175,60.28869251711735,44922
2008-01-18,55.26934051513672,63.64433922519328,54.73356350543347,62.03701159946297,117098
2008-01-21,48.92464065551758,55.29753279328384,46.80974340949686,53.85940089623259,66709
2008-01-22,39.87287902832031,45.14602387226518,39.13971284837334,45.14602387226518,30675
2008-01-23,44.97683334350586,46.2457731541295,41.733991320486965,42.297961922580136,54675
2008-01-24,40.577842712402344,48.5016614713788,38.63213426776239,47.37371356046314,126753
2008-01-25,44.356468200683594,45.11783145546967,39.506301651050116,40.88803294847395,75768
2008-01-28,45.089630126953125,46.13298038125832,42.29796378219806,44.01808287282434,15085
2008-01-29,45.540802001953125,47.824891350869095,44.69484109306997,47.79669095221681,16313
2008-01-30,45.37160873413086,46.753343150543024,43.53869858049302,46.21756621938557,49405
2008-01-31,43.8488883972168,46.80974679800683,43.42590959806948,46.80974679800683,8933
2008-02-01,41.79038619995117,45.39981281047158,41.3674040196742,42.86193334232661,11521
2008-02-04,44.469261169433594,46.24577776199214,41.17002141713594,41.76219248019553,11138
2008-02-05,44.61024475097656,45.3998082313696,42.35435249608963,42.35435249608963,12188
2008-02-06,45.681800842285156,45.681800842285156,36.658236840456276,36.658236840456276,17293
2008-02-07,42.1005744934082,45.68180107036288,41.25461685299165,45.68180107036288,26839
2008-02-08,39.28070831298828,42.57994763670873,38.914123518835424,40.77523427719232,31746
2008-02-11,36.17885971069336,40.1548717657407,35.61488904880832,39.44990588584957,24744
2008-02-12,34.966312408447266,37.701580881042,34.402338474908454,35.361094161924434,13759
2008-02-13,34.712528228759766,37.16580990340575,34.43054124258565,35.02271221186168,8993
2008-02-14,37.08121109008789,37.67338204314242,34.458737295575595,35.53028441030482,21631
2008-02-15,36.460838317871094,38.039965335704295,35.8122699943791,35.8122699943791,15442
2008-02-18,38.32194137573242,38.63212527735919,35.8122629630619,36.65822369937809,24778
2008-02-19,40.21125793457031,40.60603626654861,37.927165310264876,37.927165310264876,12127
2008-02-20,38.23735809326172,39.47809746298224,37.504191909157264,39.47809746298224,4552
2008-02-21,37.92716598510742,39.47809255705971,37.84257159914369,38.88592164517686,69176
2008-02-22,37.87077713012695,38.82952951677702,37.588790133059476,38.63213691714011,42117
2008-02-25,37.165809631347656,38.63213514196094,36.77102785359374,37.78617759301032,142634
2008-02-26,37.87077713012695,38.57574292110597,37.33500013400906,37.84257672873052,145154
2008-02-27,37.67338562011719,39.76008605539081,37.33500121384912,38.35015443265332,7340
2008-02-28,38.180965423583984,39.47810235274533,37.22220952561884,37.22220952561884,14001
2008-02-29,38.29375457763672,40.60604106553174,37.532391414013595,40.60604106553174,9890
2008-03-03,36.207054138183594,37.786177856846024,35.84047275797068,36.40444332674919,7469
2008-03-04,34.9945182800293,36.09426602769888,34.486945014473996,35.53029195110426,11791
2008-03-05,34.4869384765625,36.09425918507722,33.838370113121904,36.09425918507722,9202
2008-03-07,30.82111358642578,35.417492797536205,29.32658431181727,33.86656612759569,27570
2008-03-10,29.354785919189453,34.40234109729523,28.283237065474275,34.40234109729523,30949
2008-03-11,31.21589469909668,31.610673054762373,30.45453157977135,30.45453157977135,276329
2008-03-12,30.65192413330078,32.99241114318387,29.975155328977248,31.582479537555933,171797
2008-03-13,29.49578094482422,31.01850744498714,28.198644060000937,31.01850744498714,225946
2008-03-14,28.678020477294922,29.270191519720353,28.198644243272398,28.64982347688402,86772
2008-03-17,24.84300422668457,27.634670486496507,24.25083321461164,25.942750148864334,25061
2008-03-18,22.925493240356445,25.09678952744488,22.558911877421593,24.871199949214493,52365
2008-03-19,22.756305694580078,24.53282058183166,22.276929444829754,24.19443614552093,15773
2008-03-24,22.220529556274414,24.081640344678206,20.64140576662565,24.081640344678206,48796
2008-03-25,23.43307113647461,24.05344081052897,21.994939194394085,23.715056423759517,233011
2008-03-26,23.010093688964844,24.561018929574647,22.840901473256896,24.561018929574647,128694
2008-03-27,27.63467025756836,27.63467025756836,22.897297095160535,23.658660304858454,76411
2008-03-28,30.680118560791016,32.54122921333986,27.916652981474407,28.198639959645313,148317
2008-03-31,28.621620178222656,30.962107110790072,24.87120168660299,24.87120168660299,208483
2008-04-01,28.621620178222656,29.213791160754255,27.775660902453378,28.029449195691058,10693
2008-04-02,31.046709060668945,33.55638852423174,28.39603438032456,29.890563938606803,70417
2008-04-03,30.905710220336914,31.526081614004784,29.326586439834426,31.526081614004784,21879
2008-04-04,30.877511978149414,31.554277340592986,29.777764435376984,30.17254621544028,18477
2008-04-07,32.20284652709961,33.810170685214764,29.1009964114279,29.91875698928806,22979
2008-04-08,32.061859130859375,32.710427601927265,31.610679880245264,31.86446991040559,7628
2008-04-09,33.83837127685547,34.40234186255017,32.14644930963336,32.569431503128556,43699
2008-04-10,34.599727630615234,35.81226988535633,33.83836792583196,34.627928028965904,16412
2008-04-11,34.571537017822266,36.65823755259173,33.55638715399422,36.65823755259173,22083
2008-04-15,36.094261169433594,36.65823517011766,33.75377417166381,33.86656897180062,19559
2008-04-16,36.714630126953125,38.068164235142426,34.966314244556344,36.094258767484234,22591
2008-04-17,37.250404357910156,38.35015190408108,36.65823338767487,37.02481476860543,35952
2008-04-21,39.87287902832031,41.00082359409019,37.78617868877363,38.63213626225621,59066
2008-04-22,38.998714447021484,39.675479710478704,38.63212971746265,39.47809055100758,8425
2008-04-23,37.36320114135742,39.42170114826549,37.22220593884736,39.39350414979113,10763
2008-04-24,37.250404357910156,39.872878228508746,36.09425941441305,36.09425941441305,13157
2008-04-25,37.08121109008789,37.72977943883233,36.77102711548293,36.968416298708064,7713
2008-04-28,39.95747375488281,40.54964474189548,37.36320021113602,37.36320021113602,18962
2008-04-29,41.17001724243164,41.73399124690996,40.32405963909358,40.32405963909358,7849
2008-04-30,41.11362075805664,41.62119737339669,40.63424454525857,40.88803115123884,8191
2008-05-02,39.47809600830078,42.156967246441376,37.27860094041332,41.87498026294565,22382
2008-05-05,41.11362075805664,43.14392381603734,40.04207352905159,40.04207352905159,41083
2008-05-06,41.22641372680664,42.297960908125674,41.000824130028036,42.297960908125674,13919
2008-05-07,41.22641372680664,42.297960908125674,41.17001632761199,41.73399031955851,18981
2008-05-08,40.52145004272461,41.73399248668376,39.7600868157511,41.226415867574914,27835
2008-05-09,39.81648254394531,40.60604273709668,39.478098145432135,40.352256139901485,11222
2008-05-12,38.01177215576172,40.60604594238626,37.27860590110976,39.760088282705965,15204
2008-05-13,37.75798416137695,39.478103380216524,37.588795343065364,38.74494048960018,3499
2008-05-14,37.898963928222656,38.35014300210274,37.10940054893251,37.673374391282614,15571
2008-05-15,37.58878707885742,38.209155018619754,37.58878707885742,37.6169840745834,4253
2008-05-16,38.124568939208984,39.47810330684496,37.786184496455036,37.786184496455036,5253
2008-05-20,38.15276336669922,39.30890843307366,37.53239533355654,39.30890843307366,3462
2008-05-21,40.916229248046875,41.17001583972563,37.64518694027935,37.78617873490548,20601
2008-05-22,39.19611358642578,40.91623268424656,38.88592957017105,40.91623268424656,13367
2008-05-23,39.19611358642578,39.985677232102766,38.491147747332555,39.33710879627218,8688
2008-05-26,38.039974212646484,38.91412891072686,37.927175995957,38.35015824755823,2059
2008-05-27,36.799232482910156,38.88593319475086,36.65824066330142,37.53239879366335,7281
2008-05-28,36.235260009765625,36.74283325796856,36.09426479374723,36.74283325796856,5392
2008-05-29,36.88382339477539,39.47809689440751,36.65823380291533,39.47809689440751,1661
2008-05-30,36.489036560058594,38.35014703200428,36.3762417797359,36.43263916989725,13278
2008-06-02,36.658233642578125,37.053012023227254,35.89687047507015,35.89687047507015,6504
2008-06-03,35.7558708190918,36.09425516319362,34.57152901811425,34.96631075289971,4299
2008-06-04,32.654022216796875,34.99450890240479,32.146445683879115,34.99450890240479,25284
2008-06-05,33.21800231933594,33.72557554326085,31.582481034734368,32.14645166169311,18597
2008-06-06,32.82321548461914,33.556381612073785,32.71042069577996,32.879612879038724,5003
2008-06-09,31.582475662231445,32.710420127653606,31.103099519680452,32.710420127653606,8154
2008-06-10,31.667070388793945,32.93601005305352,31.018502058998372,31.977257757715467,775
2008-06-11,32.76681900024414,33.0488059801738,31.582477087918694,32.146447644398876,550
