Price,Close,High,Low,Open,Volume
Ticker,DCAL.NS,DCAL.NS,DCAL.NS,DCAL.NS,DCAL.NS
Date,,,,,
2004-04-22,48.73455810546875,53.826361645348626,27.912633741700347,31.064060131892322,89295720
2004-04-23,42.229122161865234,52.133606781640786,40.60838556716666,48.622015406170895,53426240
2004-04-26,42.229122161865234,42.229122161865234,42.229122161865234,42.229122161865234,0
2004-04-27,42.26063919067383,43.66977608983423,37.479472778130926,40.60838835086049,34849140
2004-04-28,42.97645568847656,45.380545842230276,41.958994106713675,43.219566160302165,28381540
2004-04-29,42.827884674072266,44.210010151581876,42.41820101730569,44.210010151581876,8452280
2004-04-30,41.79692840576172,43.30511421781093,41.03608615080642,43.03949213086059,7675980
2004-05-03,43.908382415771484,45.20046874519312,40.617393260861085,41.77892005722343,14651740
2004-05-04,44.2640495300293,45.72270927742791,43.858865312756535,44.119984412197134,11377480
2004-05-05,46.63661575317383,47.63156929666439,44.30906264405645,45.02038556025638,17184850
2004-05-06,46.71315002441406,48.09077263511193,46.38449971958858,47.27140180783412,6239870
2004-05-07,44.219024658203125,46.86622217711591,43.69228695468393,46.86622217711591,7434860
2004-05-10,44.74575424194336,45.4930941791766,42.50374129980827,44.11997125102266,6208610
2004-05-11,43.80032730102539,44.570175372559355,42.7693602059913,44.570175372559355,5447750
2004-05-12,44.07944869995117,45.191449023973526,43.669761658378306,43.93988320848407,2963640
2004-05-13,45.54712677001953,46.280961309674595,37.9972090388852,41.50879732333576,4605560
2004-05-14,42.58477783203125,46.48804757533314,38.71752865358402,45.902781233400816,4272290
2004-05-17,37.555999755859375,42.139074526510186,34.12544903610069,41.868952936457255,1709650
2004-05-18,40.36527633666992,42.76936309789825,37.456956623404174,39.167732521233134,1116130
2004-05-19,40.455322265625,42.229126710448,39.84304469385208,42.04003846417759,1224230
2004-05-20,41.2116584777832,43.012473774510724,40.08164591734756,42.30115090795553,1849910
2004-05-21,40.599388122558594,41.14863743395473,39.17674213994019,40.51835128260206,816110
2004-05-24,42.23361587524414,43.12051787923333,40.968544341414315,42.31915569332907,1082870
2004-05-25,41.59883499145508,42.31015787425646,40.96854893624856,40.96854893624856,634810
2004-05-26,40.66240692138672,43.219564632890716,37.92066743868327,40.06813804507577,555850
2004-05-27,41.03608322143555,41.95899908920739,40.1581836186872,40.1581836186872,742280
2004-05-28,37.236358642578125,41.41875266639086,35.59311396396587,40.42830560697718,1305820
2004-05-31,34.42258834838867,36.82667886036395,33.06747370407954,36.82667886036395,2360550
2004-06-01,35.19243621826172,36.45751144747605,34.62518180664783,35.115902383568525,1085330
2004-06-02,34.332542419433594,35.7461820630507,33.7742872397611,35.295978267382004,842900
2004-06-03,33.787803649902344,35.2059431694891,33.342099321385746,35.2059431694891,724490
2004-06-04,34.48561477661133,35.115900863685326,33.135003204931124,33.76528929200512,476690
2004-06-07,36.2234001159668,36.90771186796577,34.31903981928557,35.106896529753456,1144190
2004-06-08,37.389434814453125,37.99270638442457,36.01631156222986,36.90771678469962,1069970
2004-06-09,38.384376525878906,39.33880637307886,37.45695437246795,37.90715816749656,2378210
2004-06-10,38.84809494018555,39.16773929698697,35.845235751764505,35.845235751764505,1183890
2004-06-11,37.75410079956055,45.02939432089525,37.096803492128345,45.02939432089525,687240
2004-06-14,37.209346771240234,38.51943811407362,36.556549165032365,38.44740728826117,416650
2004-06-15,37.132816314697266,37.916170078441844,36.7366347150421,37.36692081330749,454200
2004-06-16,36.94823455810547,37.632542986329966,36.90771785511877,37.632542986329966,332610
2004-06-17,35.75068664550781,37.2768773056099,35.56610143241612,37.04276939801958,447000
2004-06-18,34.92230987548828,35.79120337790289,34.629676708083515,35.566101469865764,326730
2004-06-21,35.178924560546875,35.80470756604465,34.30552809181657,35.18342756027358,1246990
2004-06-22,33.28807067871094,35.56610084915963,33.01344608091584,35.56610084915963,460510
2004-06-23,33.765289306640625,34.2154931640625,33.41413084741682,33.855328704211864,403040
2004-06-24,33.954368591308594,34.44058950275405,33.40511942483676,33.49516224257608,270680
2004-06-25,33.88235092163086,34.46761400755658,33.58521465994603,33.85533634843357,374390
2004-06-28,35.2104377746582,35.46705379589745,33.765284030333795,34.24249894549884,383740
2004-06-29,35.65164566040039,35.78220519522579,34.76474348454769,35.38602359029824,257890
2004-06-30,35.83622741699219,36.45751095675389,34.21549416959934,35.926270251992484,244030
2004-07-01,35.57061004638672,36.916718705747265,35.205942562543314,35.83622869081756,90880
2004-07-02,35.59761428833008,35.90825600910896,35.38601795300431,35.47606077377188,90070
2004-07-05,35.57061004638672,35.91726552780687,35.40853637240811,35.7461892873997,72330
2004-07-06,36.385475158691406,36.91671584111337,35.87224304251221,35.87224304251221,222610
2004-07-07,36.403480529785156,37.492972930976634,36.10634436503339,36.10634436503339,291820
2004-07-08,33.8148078918457,38.26732322527445,32.09953250287848,36.898703253043685,1145920
2004-07-09,34.368560791015625,35.566104699203564,33.50417021001578,33.50417021001578,185350
2004-07-12,34.36405944824219,35.09789046059961,34.215491358783844,34.886294109210326,164110
2004-07-13,34.95832824707031,35.1113959012779,34.26051093345118,34.48561284948539,273540
2004-07-14,38.217803955078125,38.96964354849287,35.11589975178629,35.205939146467514,1312170
2004-07-15,39.64944839477539,40.1491748858712,37.45695465965429,38.897608875660936,2024470
2004-07-16,40.54536056518555,41.603342437053094,39.0776983810489,39.707981068821425,951400
2004-07-19,40.48683166503906,41.58082713893859,40.08615052027751,40.08615052027751,659260
2004-07-20,39.24877166748047,40.91452453377532,38.93363034730019,40.42830698760899,263290
2004-07-21,40.878517150878906,41.4187604788638,39.00566720226907,39.617944805869726,321630
2004-07-22,43.93989562988281,44.786281076869834,40.51834701347894,41.41875472488958,2065600
2004-07-23,43.55271530151367,44.66922225351329,43.228568011101444,44.21001244716848,380950
2004-07-26,45.11042785644531,45.42106963590471,42.76936903077905,43.264592616810404,982750
2004-07-27,43.26008605957031,46.01083184270454,42.88641947656302,46.01083184270454,271250
2004-07-28,42.53526306152344,43.66527229985832,42.18410115842717,43.61574959947742,160370
2004-07-29,42.490234375,43.48968738332317,42.14808195225237,42.94944418493456,82890
2004-07-30,42.11656951904297,43.84985357135689,41.792422213042755,42.76936369628372,285090
2004-08-02,41.32872009277344,44.30006519606164,40.878516185160585,43.579739630837715,171990
2004-08-03,43.65627670288086,45.650680298653015,41.06760404245429,41.86896650776881,1643890
2004-08-04,42.692832946777344,43.75981389868142,42.42271131723642,43.4896922691405,427230
2004-08-05,42.611793518066406,43.84985405991059,42.33266590483796,43.84985405991059,210200
2004-08-06,41.9589958190918,43.21956792412517,41.81493073006935,43.21956792412517,200760
2004-08-09,42.2246208190918,42.422711618393386,41.51329788958418,41.77891995544612,98140
2004-08-10,42.256134033203125,43.12052460898488,41.71589078203524,42.67932675531377,117190
2004-08-11,43.32311248779297,43.840844101631454,41.86895272590099,43.039481900098735,502960
2004-08-12,43.782325744628906,44.70524503912293,42.949449283744215,43.12953151617999,508800
2004-08-13,43.35912322998047,44.93033683279824,42.78736596340099,43.579725546459,452600
2004-08-16,43.719295501708984,44.029937252745334,43.24208052689711,43.534710277243114,144340
2004-08-17,44.309059143066406,44.56567518309256,43.57973115287763,43.57973115287763,181180
2004-08-18,42.755859375,45.002375582250195,42.328163664723576,44.57018030660252,368870
2004-08-19,42.98095703125,44.02993270217078,42.76936069718297,43.93988988193886,98130
2004-08-20,42.760353088378906,43.21955939565366,42.41819728142436,43.03947721121537,98830
2004-08-23,42.19760513305664,43.039484069679816,42.049037049611655,43.039484069679816,47950
2004-08-24,42.34617233276367,42.859404438507944,42.04903958275618,42.859404438507944,34050
2004-08-25,41.38273620605469,42.85940425374489,41.11261458863523,42.85940425374489,53630
2004-08-26,41.82394027709961,42.49924608318373,41.688877741969605,41.958999377446666,64120
2004-08-27,42.01302719116211,42.742358734930676,41.77892267791838,41.77892267791838,40420
2004-08-30,43.06199645996094,43.57973154460648,42.16609181178602,42.31915946327669,66720
2004-08-31,43.264591217041016,43.75981478705006,42.76936764703197,43.57973598688891,55700
2004-09-01,43.91288375854492,44.115474116289256,42.049040102079076,42.049040102079076,170870
2004-09-02,44.28655242919922,45.020383442795016,43.669771939511165,43.84084816007202,508900
2004-09-03,44.45762634277344,45.200463317988934,42.769362051275714,42.769362051275714,249790
2004-09-06,44.75926208496094,44.930341731476986,44.304558708694316,44.480137920278956,57600
2004-09-07,45.29050064086914,45.470582844039626,44.480135878775464,44.570175262969535,151010
2004-09-08,44.862815856933594,46.19091588544323,44.25954089144087,45.74071202021516,365180
2004-09-09,43.30961608886719,45.245494334817494,43.00347728333978,44.93035296212017,126450
2004-09-10,43.33211898803711,44.471134137586,42.913429285358795,43.489689642855254,131230
2004-09-13,43.04399108886719,43.93989580352197,42.91343155802277,43.93989580352197,74470
