Price,Close,High,Low,Open,Volume
Ticker,ENERGYDEV.NS,ENERGYDEV.NS,ENERGYDEV.NS,ENERGYDEV.NS,ENERGYDEV.NS
Date,,,,,
2007-11-02,124.62225341796875,124.62225341796875,124.62225341796875,124.62225341796875,326
2007-11-05,130.8568115234375,130.8568115234375,130.8568115234375,130.8568115234375,870
2007-11-06,137.4013671875,137.4013671875,137.4013671875,137.4013671875,375
2007-11-07,144.29039001464844,144.29039001464844,130.54680976926772,144.29039001464844,179230
2007-11-08,151.52383422851562,151.52383422851562,143.29146604602,147.01152874826425,7742
2007-11-12,167.05856323242188,167.05856323242188,167.02411606547795,167.05856323242188,18541
2007-11-13,175.4287109375,175.4287109375,175.4287109375,175.4287109375,6648
2007-11-14,184.21221923828125,184.21221923828125,184.21221923828125,184.21221923828125,5506
2007-11-15,193.44345092773438,193.44345092773438,193.44345092773438,193.44345092773438,832
2007-11-16,203.12255859375,203.12255859375,190.4812151553902,203.12255859375,83374
2007-11-19,213.28382873535156,213.28382873535156,196.33685397684152,213.28382873535156,141828
2007-11-20,223.96182250976562,223.96182250976562,219.6906259320966,220.4484215860185,71593
2007-11-21,235.1908721923828,235.1908721923828,225.27069883377976,230.36856365465664,127473
2007-11-22,222.06736755371094,245.4555571598017,222.06736755371094,245.4555571598017,66771
2007-11-23,210.9759979248047,210.9759979248047,210.9759979248047,210.9759979248047,3327
2007-11-26,200.43585205078125,200.43585205078125,200.43585205078125,200.43585205078125,2481
2007-11-27,190.41232299804688,190.41232299804688,190.41232299804688,190.41232299804688,2632
2007-11-28,199.95359802246094,199.95359802246094,180.9054816920522,180.9054816920522,215954
2007-11-29,189.96449279785156,209.9426262199284,189.96449279785156,209.01260545935415,175634
2007-11-30,180.49212646484375,188.07004017138297,180.49212646484375,186.00333643323592,45297
2007-12-03,189.65455627441406,189.65455627441406,172.4664781190076,172.4664781190076,37770
2007-12-04,189.55117797851562,199.16135899001242,186.7611362776801,199.09246465911318,84969
