Price,Close,High,Low,Open,Volume
Ticker,MANALIPETC.NS,MANALIPETC.NS,MANALIPETC.NS,MANALIPETC.NS,MANALIPETC.NS
Date,,,,,
2002-07-01,1.9805601835250854,2.0043506740967665,1.8259218530066479,1.9805601835250852,91050
2002-07-02,2.0043509006500244,2.260098986808011,1.9805604073892862,2.1827798837106114,102091
2002-07-03,1.9448747634887695,2.081670248292172,1.8259221495115676,2.081670248292172,69898
2002-07-04,1.9448747634887695,2.0221940122048374,1.8616080329665008,1.8616080329665008,77142
2002-07-05,1.9627171754837036,1.9805600421387148,1.8259217226594533,1.8853980866453226,153424
2002-07-08,2.361208438873291,2.361208438873291,2.0221936673793826,2.0816698933248023,195011
2002-07-09,2.8370180130004883,2.8370180130004883,2.6942751038808175,2.6942751038808175,830471
2002-07-10,2.7537522315979004,3.0927668952772014,2.718066492452976,3.0154479355990547,493687
2002-07-11,2.480160713195801,2.7359085936309033,2.3790510003059993,2.539636931482455,231016
2002-07-12,2.4563703536987305,2.6942755228297566,2.4206846208698254,2.575322796461746,194498
2002-07-15,2.3968939781188965,2.658589335361999,2.242255528870269,2.658589335361999,82048
2002-07-16,2.361208438873291,2.480161032566638,2.319575080711497,2.480161032566638,47577
2002-07-17,2.182779312133789,2.319574754364666,2.0221933828718877,2.218465042680325,69883
2002-07-18,2.20062255859375,2.3374180245200176,2.0995128293954184,2.3374180245200176,40739
2002-07-19,2.141145944595337,2.3017318833498623,2.004350494278149,2.3017318833498623,97570
2002-07-22,1.9627171754837036,2.0995126283079544,1.9448743088286928,2.0638268949979324,37875
2002-07-23,1.9805601835250854,2.063827042328479,1.8853982212383602,1.8853982212383602,41677
2002-07-24,1.8437644243240356,2.022193358512318,1.8021310725212634,2.022193358512318,36335
2002-07-25,1.8853977918624878,2.063826572317673,1.8259214371757746,2.063826572317673,25150
2002-07-26,1.6831786632537842,1.8437646064432442,1.6474929296122376,1.7842883837073331,34370
2002-07-29,1.64749276638031,1.6831784964861505,1.4690639740486224,1.64749276638031,26070
2002-07-30,1.588016390800476,1.8616072445356489,1.5285400381001282,1.7069688125962277,37447
2002-07-31,1.5047497749328613,1.784288290848807,1.409587681705361,1.784288290848807,26944
2002-08-01,1.588016390800476,1.7664451652965756,1.4869066904716153,1.7664451652965756,15025
2002-08-02,1.5463831424713135,1.5880166383935177,1.5047497883516034,1.5463831424713135,18643
2002-08-05,1.6058592796325684,1.623702143185961,1.5463829259854514,1.5880164160791757,15325
2002-08-06,1.6237026453018188,1.6831788755389658,1.5463834041910092,1.5880169071595305,13074
2002-08-07,1.64749276638031,1.6831784964861505,1.588016549537243,1.6831784964861505,46485
2002-08-08,1.528540015220642,1.6653354400406477,1.5047495312175923,1.6653354400406477,20600
2002-08-09,1.588016390800476,1.6058592540698389,1.546382901369491,1.6058592540698389,3600
2002-08-12,1.5642259120941162,1.5880163965392402,1.504749559178833,1.504749559178833,12000
2002-08-13,1.588016390800476,1.6237021173392017,1.5642259064413258,1.588016390800476,3670
2002-08-14,1.5047497749328613,1.6474928438728658,1.4869069090406726,1.605859490124425,35531
2002-08-15,1.5047497749328613,1.5047497749328613,1.5047497749328613,1.5047497749328613,0
2002-08-16,1.4452736377716064,1.5285403500203814,1.385797272934266,1.5285403500203814,20946
2002-08-19,1.4452736377716064,1.4869069938959938,1.385797272934266,1.385797272934266,20066
2002-08-20,1.4274309873580933,1.4869072194136292,1.3857974831166953,1.4869072194136292,13876
2002-08-21,1.3857972621917725,1.4452736265680608,1.3263210396179839,1.3857972621917725,17925
2002-08-22,1.4095878601074219,1.4274308700603735,1.4095878601074217,1.4274308700603735,3000
2002-08-23,1.4274309873580933,1.4690643497969684,1.3857974831166953,1.3857974831166953,2400
2002-08-26,1.3857972621917725,1.4274307597959244,1.3857972621917725,1.3857972621917725,6151
2002-08-27,1.4095878601074219,1.4274308700603735,1.3679545010897265,1.4274308700603735,6932
2002-08-28,1.3501116037368774,1.38579733926589,1.3084782456196962,1.3679544715013838,9200
2002-08-29,1.231158971786499,1.350111561643734,1.2073684821755528,1.231158971786499,11750
2002-08-30,1.231158971786499,1.3263210720327878,1.2073684821755528,1.2073684821755528,5750
2002-09-02,1.3501116037368774,1.4274308391855792,1.3501116037368774,1.3501116037368774,5520
2002-09-03,1.290635347366333,1.4452736728081859,1.266844857575664,1.4452736728081859,7321
2002-09-04,1.326320767402649,1.3857969777694836,1.2311586890132429,1.2490015521232931,7110
2002-09-05,1.3084781169891357,1.3679543370239853,1.3084781169891357,1.3084781169891357,3275
2002-09-06,1.2668447494506836,1.3263209688510709,1.2668447494506836,1.2668447494506836,7100
2002-09-09,1.2490018606185913,1.3263210949952928,1.2490018606185913,1.2490018606185913,5650
2002-09-10,1.2490018606185913,1.2490018606185913,1.2490018606185913,1.2490018606185913,0
2002-09-11,1.231158971786499,1.266844848005422,1.2073684821755528,1.266844848005422,3800
2002-09-12,1.1895257234573364,1.2490019529091967,1.1716828546217783,1.2073685922928945,8356
2002-09-13,1.1895257234573364,1.2311590840736386,1.147892291939776,1.2073685922928945,5700
2002-09-16,1.2073684930801392,1.231158982905954,1.1300493302449885,1.189525625710778,4225
2002-09-17,1.1478922367095947,1.2906353932298282,1.1478922367095947,1.2906353932298282,6599
2002-09-18,1.1478922367095947,1.26684490259375,1.1478922367095947,1.26684490259375,8950
2002-09-19,1.1478922367095947,1.207368534201045,1.1300493687325361,1.1478922367095947,5062
2002-09-20,1.1478922367095947,1.1478922367095947,1.1122065007554773,1.1300493687325361,16000
2002-09-23,1.0884159803390503,1.1478922053019058,1.0705730419489408,1.0884159803390503,5900
2002-09-24,1.1122063398361206,1.1122063398361206,1.0705729163454527,1.1122063398361206,4800
2002-09-25,1.0884159803390503,1.1122064703241925,1.052730174460084,1.052730174460084,1550
2002-09-26,1.1478922367095947,1.1478922367095947,1.1122065007554773,1.1300493687325361,4878
2002-09-27,1.0884159803390503,1.0884159803390503,1.052730174460084,1.0705730419489408,11362
2002-09-30,1.1478922367095947,1.1716827982469278,1.0884160101193991,1.1300493687325361,8050
2002-10-01,1.1122063398361206,1.1300492052315878,1.0705729163454527,1.1300492052315878,3005
2002-10-02,1.1122063398361206,1.1122063398361206,1.1122063398361206,1.1122063398361206,0
2002-10-03,1.0705729722976685,1.08841590952692,1.0289396175323275,1.0527301059696652,5400
2002-10-04,1.1122063398361206,1.1122063398361206,1.0705729163454527,1.0705729163454527,2250
2002-10-07,1.1478922367095947,1.1478922367095947,1.0884160101193991,1.1122065007554773,4500
2002-10-08,1.1478922367095947,1.1716827982469278,1.1122065007554773,1.1716827982469278,4900
2002-10-09,1.1122063398361206,1.147892070627055,1.0527300509499857,1.1300492052315878,8706
2002-10-10,1.0527303218841553,1.1300494960648768,1.0527303218841553,1.0705731918717227,4926
2002-10-11,1.1478922367095947,1.1478922367095947,1.070573071241086,1.070573071241086,4150
2002-10-14,1.1478922367095947,1.1716827982469278,1.1122065007554773,1.1300493687325361,4300
2002-10-15,1.1478922367095947,1.1478922367095947,1.1478922367095947,1.1478922367095947,0
2002-10-16,1.1300493478775024,1.2311590021161134,1.1300493478775024,1.1895256442713191,3550
2002-10-17,1.0705729722976685,1.2311589110521939,0.9932538139750728,1.2311589110521939,8801
2002-10-18,1.1122063398361206,1.1122063398361206,0.9932537620638506,0.9932537620638506,3900
2002-10-21,1.0527303218841553,1.1300494960648768,1.0527303218841553,1.0527303218841553,6560
2002-10-22,1.0289396047592163,1.147892116370493,0.9932538016449602,1.147892116370493,5210
2002-10-23,0.9932537078857422,1.070572857949887,0.9932537078857423,1.070572857949887,7700
2002-10-24,1.0884159803390503,1.1122064703241925,0.9932538785959756,1.1122064703241925,2615
2002-10-25,1.0527303218841553,1.1478923660524443,1.0289398285673987,1.0289398285673987,12186
2002-10-28,1.0705729722976685,1.08841590952692,1.0110967512043243,1.0110967512043243,2700
2002-10-29,1.0705729722976685,1.1300492642922606,1.0110967512043243,1.0289396175323275,10325
2002-10-30,1.0705729722976685,1.1300492642922606,1.0289396175323275,1.0289396175323275,5375
2002-10-31,1.0884159803390503,1.0884159803390503,1.0884159803390503,1.0884159803390503,3400
2002-11-01,1.0110969543457031,1.0884161282026383,0.9516206504016155,0.9516206504016155,4400
2002-11-04,1.0289396047592163,1.147892116370493,1.0289396047592163,1.147892116370493,600
2002-11-05,1.0527303218841553,1.0705731918717227,0.9932540176910012,1.0289398285673987,6160
2002-11-06,1.0527303218841553,1.0527303218841553,1.0527303218841553,1.0527303218841553,0
2002-11-07,1.0705729722976685,1.1122063979642574,1.0289396175323275,1.1122063979642574,3000
2002-11-08,1.0705729722976685,1.08841590952692,1.0289396175323275,1.0289396175323275,4860
2002-11-11,1.1300493478775024,1.1300493478775024,1.0884159900327082,1.0884159900327082,3350
2002-11-12,1.1122063398361206,1.1716826287222557,1.0884158526421646,1.0884158526421646,17025
2002-11-13,1.0884159803390503,1.1122064703241925,1.0884159803390503,1.1122064703241925,11000
2002-11-14,1.1300493478775024,1.1300493478775024,1.0884159900327082,1.0884159900327082,6250
2002-11-15,1.0884159803390503,1.171682766188301,1.0884159803390503,1.171682766188301,6550
2002-11-18,1.1122063398361206,1.1716826287222557,1.0527300509499857,1.1300492052315878,7913
2002-11-19,1.1122063398361206,1.1122063398361206,1.1122063398361206,1.1122063398361206,0
